ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
Q26-001,[P0][frontend][lint] 修复 set-state-in-effect（AiGenerateDrawer/PromptStudioPresetListPanel）,修复 set-state-in-effect 导致的 lint error，并补齐 prettier --check 失败导致 lint 不能通过的问题（仅格式化，不改逻辑）,cd frontend npm run lint 通过且 AiGenerateDrawer/PromptStudio 分类筛选功能不回归,cd frontend npm run lint,none,DONE,DONE,DONE,"frontend/src/**/*.{ts,tsx}",none,priority:P0 | area:frontend | phase:0 | evidence:2026-01-23 lint errors | scope:prettier-format | test:cd frontend npm run lint pass | done_at:2026-01-23
Q26-002,[P0][frontend][lint] 清零当前 ESLint warnings（deps/memo）并避免潜在竞态,修复当前 lint 输出的 warnings（exhaustive-deps 与 memo deps）并避免隐性性能/状态问题,cd frontend npm run lint 输出中不再包含本次列出的 warnings（或给出明确 eslint-disable 且写明理由）,cd frontend npm run lint,none,DONE,DONE,DONE,frontend/src/components/writing/ForeshadowDrawer.tsx | frontend/src/pages/CharactersPage.tsx | frontend/src/pages/StructuredMemoryPage.tsx | frontend/src/pages/TaskCenterPage.tsx,Q26-001,priority:P0 | area:frontend | phase:0 | refs:npm run lint output 2026-01-23 | test:cd frontend npm run lint pass | done_at:2026-01-23
Q26-003,[P0][e2e][flaky] 稳定 worldbook 大列表分页用例（等待列表加载）,修复 worldbook-large-list-pagination 在负载下偶发 initialCount=0 的时序问题,cd test npx playwright test specs/ui/worldbook-large-list-pagination.spec.ts --repeat-each 5 全绿,cd test npx playwright test specs/ui/worldbook-large-list-pagination.spec.ts --repeat-each 5,none,DONE,DONE,DONE,test/specs/ui/worldbook-large-list-pagination.spec.ts,none,priority:P0 | area:e2e | phase:0 | risk:flaky blocks regression gate | test:cd test npx playwright test specs/ui/worldbook-large-list-pagination.spec.ts --repeat-each 5 pass | done_at:2026-01-23
Q26-004,[P0][e2e][flaky] 稳定 worldbook 批量+复制并编辑用例（显式等待选择数）,修复 worldbook.spec.ts 中批量清空/选择后的偶发状态不同步导致按钮 disabled 的问题,"cd test npx playwright test specs/ui/worldbook.spec.ts -g \""bulk actions\"" --repeat-each 5 全绿","cd test npx playwright test specs/ui/worldbook.spec.ts -g \""bulk actions\"" --repeat-each 5",none,DONE,DONE,DONE,test/specs/ui/worldbook.spec.ts,Q26-003,"priority:P0 | area:e2e | phase:0 | note:prefer test-side wait not business-logic hacks | test:cd test npx playwright test specs/ui/worldbook.spec.ts -g ""bulk actions"" --repeat-each 5 pass | done_at:2026-01-23"
Q26-005,[P0][e2e][refactor] 提取 WorldBook 页面稳定等待 helper 并复用,将 worldbook 相关 spec 的“等待列表/等待加载完成”逻辑收口为 helper 以降低后续新增 flaky 风险,helper 被 worldbook 相关 ui spec 复用且所有相关用例保持通过,cd test npm test,none,DONE,DONE,DONE,test/lib/ui-test.ts | test/specs/ui/worldbook*.spec.ts,Q26-003|Q26-004,priority:P0 | area:e2e | phase:0 | test:cd test npm test pass | done_at:2026-01-23
Q26-006,[P0][test][utf8] 修复 run-all.ps1 输出乱码并统一 UTF-8,解决 PowerShell/python/node 输出在 CI/本机出现中文与符号乱码影响排障的问题,manual: 运行 .\\test\\run-all.ps1 时中文日志与 Playwright 分隔线字符可读且不出现明显乱码,manual,manual,DONE,DONE,DONE,test/run-all.ps1,Q26-003,priority:P0 | area:test | phase:0 | risk:debugging friction | manual_test:pwsh test/run-all.ps1 (utf-8 output ok) | done_at:2026-01-23
Q26-007,[P1][test][gate] 将 frontend lint 纳入 run-all.ps1 质量闸门,避免只跑单测导致 lint 回归被遗漏,运行 .\\test\\run-all.ps1 时包含 Frontend lint 步骤且全绿,manual: run .\\test\\run-all.ps1,manual,DONE,DONE,DONE,test/run-all.ps1,Q26-001,priority:P1 | area:test | phase:4 | manual_test:pwsh test/run-all.ps1 (includes Frontend lint; exit 0) | done_at:2026-01-23

DOC26-001,[P0][docs][ia] 同步 navigation-ia-v1 与现状并补齐落地记录,当前 docs/ux/navigation-ia-v1.md 与 AppShell 的高级调试开关等实现存在漂移需同步,文档内容与 frontend/src/components/layout/AppShell.tsx 一致且“落地记录”补齐到 2026-01-23,manual: review docs/ux/navigation-ia-v1.md vs AppShell.tsx,manual,DONE,DONE,DONE,docs/ux/navigation-ia-v1.md | frontend/src/components/layout/AppShell.tsx,none,priority:P0 | area:docs | phase:0 | type:drift-fix | manual_test:review docs/ux/navigation-ia-v1.md vs frontend/src/components/layout/AppShell.tsx ok | done_at:2026-01-23
DOC26-002,[P0][docs][audit] 更新审计覆盖矩阵绑定本 CSV 的 Issue IDs,保证后续实现阶段“每个页面/抽屉/关键按钮”都有可核对的绑定避免漏检,docs/ux/audit-matrix.md 增加本 CSV 对应的映射并覆盖 frontend routes 与 writing drawers 全量,manual: review docs/ux/audit-matrix.md coverage and ID mapping,manual,DONE,DONE,DONE,docs/ux/audit-matrix.md | plan/2026-01-23_05-03-06-2026q1-ux-cn-productization-audit.md,none,priority:P0 | area:docs | phase:0 | contract:coverage-matrix | manual_test:review docs/ux/audit-matrix.md coverage and ID mapping ok | done_at:2026-01-23
