ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
FR-S01-001,"[Step1][backend] Remove Glossary backend","Delete 5 glossary backend files (glossary_term.py|glossary_service.py|glossary route|test|migration). Remove glossary import+include_router from router.py. Remove GlossaryTerm from models/__init__.py. Remove glossary_query_expand_enabled from config.py. Remove glossary query expand code blocks from graph_context_service.py (~L329-339) and worldbook_service.py (~L297-307). Remove glossary_terms from test/contracts/db_schema.json.","All glossary backend files deleted; no glossary imports remain in backend; python -m compileall passes","cd backend && .\.venv\Scripts\python.exe -m compileall -q app alembic",codex,DONE,DONE,TODO,"backend/app/models/glossary_term.py|backend/app/services/glossary_service.py|backend/app/api/routes/glossary.py|backend/tests/test_glossary_query_expand.py|backend/app/api/router.py|backend/app/models/__init__.py|backend/app/core/config.py|backend/app/services/graph_context_service.py|backend/app/services/worldbook_service.py|test/contracts/db_schema.json",none,"priority:P0 | area:backend | phase:step1 | risk:low"
FR-S01-002,"[Step1][frontend] Remove Glossary frontend refs","Remove glossary redirect route from App.tsx (~L279-282). Optionally remove help drawer from AppShell.tsx (helpOpen/setHelpOpen state and help Drawer ~L630-668).","No glossary references in frontend; npm run build passes","cd frontend && npm run build",codex,DONE,DONE,TODO,"frontend/src/App.tsx|frontend/src/components/layout/AppShell.tsx",FR-S01-001,"priority:P0 | area:frontend | phase:step1 | risk:low"
FR-S02-001,"[Step2][frontend] Remove ChapterReader + merge to Preview","Delete ChapterReaderPage.tsx. Remove lazy import+route from App.tsx (~L89-92|~L235-238). Remove /reader from routes.ts (~L24). Remove nav.reader from uiCopy.ts. Remove reader nav item+BookOpenText import from appShellNavConfig.tsx (~L119-126). Remove openReader function+button from PreviewPage.tsx (~L86-89).","ChapterReaderPage.tsx deleted; no reader references in frontend; npm run build passes","cd frontend && npm run build",codex,DONE,DONE,TODO,"frontend/src/pages/ChapterReaderPage.tsx|frontend/src/App.tsx|frontend/src/lib/routes.ts|frontend/src/lib/uiCopy.ts|frontend/src/components/layout/appShellNavConfig.tsx|frontend/src/pages/PreviewPage.tsx",FR-S01-002,"priority:P0 | area:frontend | phase:step2 | risk:low"
FR-S03-001,"[Step3][backend+frontend] Delete TaskCenter files+routes","Delete 7 TaskCenter frontend files (TaskCenterPage.tsx + taskCenter/ folder). Delete backend tasks.py route. Remove tasks import+include_router from router.py. Remove TaskCenterPage lazy import+route from App.tsx. Remove /tasks from routes.ts. Remove tasks nav item from appShellNavConfig.tsx.","All TaskCenter files deleted; no task route in backend; npm run build + python compileall pass","cd frontend && npm run build && cd ../backend && .\.venv\Scripts\python.exe -m compileall -q app alembic",codex,DONE,DONE,TODO,"frontend/src/pages/TaskCenterPage.tsx|frontend/src/pages/taskCenter/*|backend/app/api/routes/tasks.py|backend/app/api/router.py|frontend/src/App.tsx|frontend/src/lib/routes.ts|frontend/src/components/layout/appShellNavConfig.tsx",FR-S02-001,"priority:P0 | area:full-stack | phase:step3 | risk:medium"
FR-S03-002,"[Step3][frontend] Remove AdvancedDebug framework UI","Move search group from advancedDebug to workbench in appShellNavConfig.tsx (~L176). Remove useAdvancedDebugVisible+useAdvancedDebugCollapsed hooks from AppShell.tsx (~L41-66). Remove advancedDebugVisible/Collapsed state (~L274-275). Remove mobile+desktop debug toggles (~L379-414|~L498-542). Remove advancedDebugVisibleStorageKey+CollapsedStorageKey from uiState.ts. Remove groupAdvancedDebug+advancedDebugToggle from uiCopy.ts. Do NOT delete DebugPageShell.","Search in workbench group; no advancedDebug references in AppShell/uiState/uiCopy; npm run build passes; DebugPageShell preserved","cd frontend && npm run build",codex,DONE,DONE,TODO,"frontend/src/components/layout/appShellNavConfig.tsx|frontend/src/components/layout/AppShell.tsx|frontend/src/services/uiState.ts|frontend/src/lib/uiCopy.ts",FR-S03-001,"priority:P0 | area:frontend | phase:step3 | risk:medium | note:DO NOT delete DebugPageShell"
FR-S04-001,"[Step4][backend] Remove Fractal backend","Delete fractal.py route|fractal_memory_service.py|fractal_memory.py. Remove fractal import+include_router from router.py. Remove FractalMemory from models/__init__.py. Remove fractal_enabled+fractal_char_limit from config.py. Remove fractal from memory_retrieval_service.py (_ALLOWED_SECTIONS|fractal_enabled logic|fractal context block ~L733-754|fractal log ~L871-885). Remove fractal from chapter_generation_memory_service.py. Remove fractal from memory_pack.py. Remove fractal from project_task_service.py+llm_task_catalog.py. Remove fractal from project_settings.py+schemas/settings.py+routes/settings.py. Delete fractal_v2_v1 preset dir.","All fractal backend files deleted; no fractal imports; python compileall passes","cd backend && .\.venv\Scripts\python.exe -m compileall -q app alembic",codex,DONE,DONE,TODO,"backend/app/api/routes/fractal.py|backend/app/services/fractal_memory_service.py|backend/app/models/fractal_memory.py|backend/app/api/router.py|backend/app/models/__init__.py|backend/app/core/config.py|backend/app/services/memory_retrieval_service.py|backend/app/services/chapter_generation_memory_service.py|backend/app/schemas/memory_pack.py|backend/app/services/project_task_service.py|backend/app/services/llm_task_catalog.py|backend/app/models/project_settings.py|backend/app/schemas/settings.py|backend/app/api/routes/settings.py|backend/app/resources/prompt_presets/fractal_v2_v1/",FR-S03-002,"priority:P1 | area:backend | phase:step4 | risk:medium"
FR-S04-002,"[Step4][frontend] Remove Fractal frontend","Delete FractalPage.tsx. Remove fractal lazy import+route from App.tsx. Remove fractal nav item+Snowflake import from appShellNavConfig.tsx. Remove /fractal from routes.ts. Remove nav.fractal+fractal.* from uiCopy.ts. Remove fractal from types.ts|writing/types.ts|ContextPreviewDrawer|PromptInspectorDrawer|aiGenerateDrawerModels|useChapterGeneration|settings/models.ts|SettingsCoreSections|useSettingsPageState.","FractalPage deleted; no fractal references in frontend; npm run build passes","cd frontend && npm run build",codex,DONE,DONE,TODO,"frontend/src/pages/FractalPage.tsx|frontend/src/App.tsx|frontend/src/components/layout/appShellNavConfig.tsx|frontend/src/lib/routes.ts|frontend/src/lib/uiCopy.ts|frontend/src/types.ts|frontend/src/components/writing/types.ts|frontend/src/components/writing/ContextPreviewDrawer.tsx|frontend/src/components/writing/PromptInspectorDrawer.tsx|frontend/src/components/writing/aiGenerateDrawer/aiGenerateDrawerModels.ts|frontend/src/pages/writing/useChapterGeneration.ts|frontend/src/pages/settings/models.ts|frontend/src/pages/settings/SettingsCoreSections.tsx|frontend/src/pages/settings/useSettingsPageState.ts",FR-S04-001,"priority:P1 | area:frontend | phase:step4 | risk:medium"
FR-S05-001,"[Step5][backend] Remove Graph backend","Delete graph.py route|graph_auto_update_service.py|graph_context_service.py. Remove graph import+include_router from router.py. Remove 5 graph_* config items+validators from config.py. Remove auto_update_graph_enabled from project_settings.py|schemas/settings.py|routes/settings.py. Remove graph from memory_retrieval_service.py (import|query_graph_context|graph_enabled logic). Remove graph from chapter_generation_memory_service.py|memory_pack.py. Remove graph from project_task_service.py|llm_task_catalog.py. Delete sys.memory.graph_context template. Remove graph_context from preset.json.","All graph backend files deleted; no graph imports; python compileall passes","cd backend && .\.venv\Scripts\python.exe -m compileall -q app alembic",codex,DONE,DONE,TODO,"backend/app/api/routes/graph.py|backend/app/services/graph_auto_update_service.py|backend/app/services/graph_context_service.py|backend/app/api/router.py|backend/app/core/config.py|backend/app/models/project_settings.py|backend/app/schemas/settings.py|backend/app/api/routes/settings.py|backend/app/services/memory_retrieval_service.py|backend/app/services/chapter_generation_memory_service.py|backend/app/schemas/memory_pack.py|backend/app/services/project_task_service.py|backend/app/services/llm_task_catalog.py|backend/app/resources/prompt_presets/chapter_generate_v4/",FR-S04-002,"priority:P1 | area:backend | phase:step5 | risk:high"
FR-S05-002,"[Step5][frontend] Remove Graph frontend","Delete GraphPage.tsx. Remove graph lazy import+route from App.tsx. Remove graph nav item+Share2 import from appShellNavConfig.tsx. Remove /graph from routes.ts. Remove nav.graph+graph.* from uiCopy.ts. Remove auto_update_graph_enabled from types.ts. Remove graph from writing/types.ts|ContextPreviewDrawer|PromptInspectorDrawer|aiGenerateDrawerModels|useChapterGeneration|settings/models.ts|SettingsCoreSections|useSettingsPageState. Remove graph Link from CharacterRelationsView.tsx (~L392-398).","GraphPage deleted; no graph references in frontend; npm run build passes","cd frontend && npm run build",codex,DONE,DONE,TODO,"frontend/src/pages/GraphPage.tsx|frontend/src/App.tsx|frontend/src/components/layout/appShellNavConfig.tsx|frontend/src/lib/routes.ts|frontend/src/lib/uiCopy.ts|frontend/src/types.ts|frontend/src/components/writing/types.ts|frontend/src/components/writing/ContextPreviewDrawer.tsx|frontend/src/components/writing/PromptInspectorDrawer.tsx|frontend/src/components/writing/aiGenerateDrawer/aiGenerateDrawerModels.ts|frontend/src/pages/writing/useChapterGeneration.ts|frontend/src/pages/settings/models.ts|frontend/src/pages/settings/SettingsCoreSections.tsx|frontend/src/pages/settings/useSettingsPageState.ts|frontend/src/pages/structuredMemory/CharacterRelationsView.tsx",FR-S05-001,"priority:P1 | area:frontend | phase:step5 | risk:high"
FR-S06-001,"[Step6][backend] Remove NumericTables backend","Delete 8 tables backend files (tables.py|table_route_helpers.py|table_route_mappers.py|table_route_models.py|table_context_service.py|table_executor.py|table_ai_update_service.py|project_table.py). Remove tables import+include_router from router.py. Remove ProjectTable|ProjectTableRow from models/__init__.py. Remove auto_update_tables_enabled from project_settings.py|schemas/settings.py|routes/settings.py. Remove tables from memory_retrieval_service.py|memory_pack.py|project_task_service.py|llm_task_catalog.py. Remove project_table_rows from memory_update_service.py+structured_memory.py CHECK constraint. Remove ensure_default_numeric_tables from project_seed_service.py+projects.py. Remove from search_index_service.py. Delete sys.memory.tables template+preset section.","All tables backend files deleted; no tables imports; python compileall passes","cd backend && .\.venv\Scripts\python.exe -m compileall -q app alembic",codex,DONE,DONE,TODO,"backend/app/api/routes/tables.py|backend/app/api/routes/table_route_helpers.py|backend/app/api/routes/table_route_mappers.py|backend/app/api/routes/table_route_models.py|backend/app/services/table_context_service.py|backend/app/services/table_executor.py|backend/app/services/table_ai_update_service.py|backend/app/models/project_table.py|backend/app/api/router.py|backend/app/models/__init__.py|backend/app/models/project_settings.py|backend/app/schemas/settings.py|backend/app/api/routes/settings.py|backend/app/services/memory_retrieval_service.py|backend/app/schemas/memory_pack.py|backend/app/services/project_task_service.py|backend/app/services/llm_task_catalog.py|backend/app/services/memory_update_service.py|backend/app/models/structured_memory.py|backend/app/services/project_seed_service.py|backend/app/api/routes/projects.py|backend/app/services/search_index_service.py|backend/app/resources/prompt_presets/chapter_generate_v4/",FR-S05-002,"priority:P1 | area:backend | phase:step6 | risk:high"
FR-S06-002,"[Step6][frontend] Remove NumericTables frontend","Delete NumericTablesPage.tsx|TablesPanel.tsx. Remove numericTables lazy import+route from App.tsx. Remove numericTables nav item from appShellNavConfig.tsx. Remove /numeric-tables from routes.ts. Remove nav.numericTables+projectTableRow from uiCopy.ts. Remove tables from writing/types.ts|ContextPreviewDrawer|aiGenerateDrawerModels|useChapterGeneration. Remove TablesPanel from WritingPageSections.tsx. Remove onOpenTables from WritingToolbar.tsx. Remove tables settings from models.ts|SettingsCoreSections|useSettingsPageState.","NumericTablesPage+TablesPanel deleted; no tables references in frontend; npm run build passes","cd frontend && npm run build",codex,DONE,DONE,TODO,"frontend/src/pages/NumericTablesPage.tsx|frontend/src/components/writing/TablesPanel.tsx|frontend/src/App.tsx|frontend/src/components/layout/appShellNavConfig.tsx|frontend/src/lib/routes.ts|frontend/src/lib/uiCopy.ts|frontend/src/components/writing/types.ts|frontend/src/components/writing/ContextPreviewDrawer.tsx|frontend/src/components/writing/aiGenerateDrawer/aiGenerateDrawerModels.ts|frontend/src/pages/writing/useChapterGeneration.ts|frontend/src/pages/writing/WritingPageSections.tsx|frontend/src/components/writing/WritingToolbar.tsx|frontend/src/pages/settings/models.ts|frontend/src/pages/settings/SettingsCoreSections.tsx|frontend/src/pages/settings/useSettingsPageState.ts",FR-S06-001,"priority:P1 | area:frontend | phase:step6 | risk:high"
FR-S07-001,"[Step7][frontend] Remove RAG Page (keep backend)","Delete 9 RAG frontend files (RagPage.tsx + rag/ folder + VectorRagDebugPanel.tsx). Remove RagPage lazy import+route from App.tsx. Remove rag nav item+Database import from appShellNavConfig.tsx. Remove /rag from routes.ts. Remove nav.rag+RAG copy from uiCopy.ts. Remove VectorRagDebugPanel import+usage from ContextPreviewDrawer (keep basic vector_rag context display). Keep SettingsVectorRagSection and PromptsVectorRagSection (backend preserved).","RagPage+rag/ folder deleted; no RagPage references; npm run build passes; backend vector routes preserved","cd frontend && npm run build",codex,DONE,DONE,TODO,"frontend/src/pages/RagPage.tsx|frontend/src/pages/rag/*|frontend/src/components/writing/contextPreview/VectorRagDebugPanel.tsx|frontend/src/App.tsx|frontend/src/components/layout/appShellNavConfig.tsx|frontend/src/lib/routes.ts|frontend/src/lib/uiCopy.ts|frontend/src/components/writing/ContextPreviewDrawer.tsx",FR-S06-002,"priority:P1 | area:frontend | phase:step7 | risk:medium | note:Keep backend vector routes + settings sections"
