ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
UIC-001,[P0][frontend][ui] RAG 面板 checkbox 使用默认样式,pages/rag 下存在 checkbox 未使用 .checkbox 基线 class 导致 checked 或 disabled 或 focus 样式走浏览器默认 与全局 accent 基线不一致,pages/rag 下所有 checkbox 输入统一带 className=\"checkbox\" 且 checked 颜色与项目 accent 一致,cd test; npm test -- specs/ui/rag-page.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/rag/RagAdvancedDebugPanel.tsx | frontend/src/pages/rag/RagKnowledgeBasePanel.tsx | frontend/src/pages/rag/RagQueryPanel.tsx,none,priority:P0 | area:ui-consistency | page:/projects/<id>/rag | repro:打开 RAG 页面 在 Query sources 与 Advanced/KB 勾选 checkbox | expected:use .checkbox (accent) | evidence:frontend/src/pages/rag/RagQueryPanel.tsx:183 input missing className | evidence:frontend/src/pages/rag/RagAdvancedDebugPanel.tsx:82 input missing className | evidence:frontend/src/pages/rag/RagKnowledgeBasePanel.tsx:125 input missing className | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/rag-page.spec.ts | done_at:2026-01-23
UIC-002,[P0][frontend][ui] Graph enabled toggle checkbox 使用默认样式,GraphPage 顶部 enabled toggle 使用原生 checkbox 未套用 .checkbox 基线 class 与其他页面选中样式不一致,GraphPage enabled toggle checkbox 使用 className=\"checkbox\" 且 focus 与 checked 外观一致,cd test; npm test -- specs/ui/graph-page.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/GraphPage.tsx,none,priority:P0 | area:ui-consistency | page:/projects/<id>/graph | repro:打开 Graph 页面 勾选 enabled toggle | expected:use .checkbox (accent) | evidence:frontend/src/pages/GraphPage.tsx:115 input missing className | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/graph-page.spec.ts | done_at:2026-01-23
UIC-003,[P0][frontend][ui] AdminUsers is_admin checkbox 使用默认样式,AdminUsersPage 创建用户表单 is_admin 使用原生 checkbox 未套用 .checkbox 基线 class 与全局不一致,AdminUsersPage is_admin checkbox 使用 className=\"checkbox\" 并与其他 checkbox 一致,cd test; npm test -- specs/ui/admin-users.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/AdminUsersPage.tsx,none,priority:P0 | area:ui-consistency | page:/admin/users | repro:打开 Admin Users 勾选 管理员（is_admin） | expected:use .checkbox (accent) | evidence:frontend/src/pages/AdminUsersPage.tsx:297 input missing className | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/admin-users.spec.ts | done_at:2026-01-23
UIC-004,[P1][frontend][ui] AppShell 高级调试开关 checkbox 统一为 .checkbox,AppShell 中显示高级调试的 toggle 使用原生 checkbox 未套用 .checkbox 基线 class 可能出现浏览器默认色,两个显示高级调试 toggle checkbox 统一 className=\"checkbox\" 并与其它表单控件一致,cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/components/layout/AppShell.tsx,none,priority:P1 | area:ui-consistency | page:AppShell | repro:左侧导航 打开 显示高级调试 | expected:use .checkbox (accent) | evidence:frontend/src/components/layout/AppShell.tsx:436 input missing className | evidence:frontend/src/components/layout/AppShell.tsx:658 input missing className | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-23
UIC-005,[P1][frontend][ui] RAG Query textarea 使用 .textarea 基线,RagQueryPanel 查询文本 textarea 使用手写 class 组合 缺少 .textarea 的 focus ring 与 disabled 等一致性,查询文本 textarea 改为使用 className=\"textarea\" 并保留必要的尺寸控制与可读性,cd test; npm test -- specs/ui/rag-page.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/rag/RagQueryPanel.tsx,none,priority:P1 | area:ui-consistency | page:/projects/<id>/rag | repro:打开 Query 面板 聚焦 查询文本 | expected:textarea 基线 focus ring 与边框一致 | evidence:frontend/src/pages/rag/RagQueryPanel.tsx:196 textarea missing .textarea | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/rag-page.spec.ts | done_at:2026-01-23
UIC-006,[P1][frontend][ui] AdminUsers 表单 input 统一为 .input,AdminUsersPage 创建用户表单的 input 使用手写 class 组合 缺少 .input 的 focus ring 过渡 disabled 等一致性,创建用户表单的 username email password 等输入框统一改为 className=\"input\" 并保持布局不变,cd test; npm test -- specs/ui/admin-users.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/AdminUsersPage.tsx,none,priority:P1 | area:ui-consistency | page:/admin/users | repro:打开 Admin Users 聚焦创建用户输入框 | expected:input 基线 focus ring 与 disabled 一致 | evidence:frontend/src/pages/AdminUsersPage.tsx:256 input missing .input | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/admin-users.spec.ts | done_at:2026-01-23
UIC-007,[P1][frontend][ui] PromptStudio 分类筛选 select 使用 .select,PromptStudioPresetListPanel 分类筛选下拉框使用 className=\"input\" 与全局 select 基线不一致,分类筛选下拉框改为 className=\"select\" 并保持 w-auto 等布局一致,cd test; npm test -- specs/ui/prompt-studio-preview.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/promptStudio/PromptStudioPresetListPanel.tsx,none,priority:P1 | area:ui-consistency | page:/projects/<id>/prompt-studio | repro:打开 PromptStudio 查看 分类 下拉框 | expected:use .select 基线 | evidence:frontend/src/pages/promptStudio/PromptStudioPresetListPanel.tsx:164 className=input | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/prompt-studio-preview.spec.ts | done_at:2026-01-23
UIC-008,[P1][frontend][ui] TaskCenter 列表项按钮补齐 focus 与 interactive 基线,TaskCenterPage 列表项使用 button 但 class 仅为 surface ui-transition-fast 缺少 ui-focus-ring 与 active 状态 不满足一致性与键盘可用性,列表项按钮改为使用 surface-interactive 或补齐 ui-focus-ring 与 pressable 状态 且 hover active focus 一致,cd test; npm test -- specs/ui/task-center.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/TaskCenterPage.tsx | frontend/src/index.css,none,priority:P1 | area:ui-consistency | page:/projects/<id>/tasks | repro:键盘 Tab 聚焦 change_set 或 task 列表项 | expected:可见 focus ring 且 hover active 一致 | evidence:frontend/src/pages/TaskCenterPage.tsx:271 missing ui-focus-ring | evidence:frontend/src/index.css:176 surface-interactive exists | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/task-center.spec.ts | done_at:2026-01-23
UIC-009,[P1][frontend][ui] 定义并使用 btn-sm 变体,AdminUsersPage 使用 btn-sm 但基线 CSS 未定义 导致小按钮尺寸不一致或无效,新增 .btn-sm 定义并在使用处确认尺寸与间距符合小按钮预期,cd test; npm test -- specs/ui/admin-users.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/AdminUsersPage.tsx | frontend/src/index.css,none,priority:P1 | area:ui-consistency | page:/admin/users | repro:查看用户表格操作按钮 | expected:小按钮 padding 与字体更紧凑且一致 | evidence:frontend/src/pages/AdminUsersPage.tsx:336 uses btn-sm | evidence:frontend/src/index.css no .btn-sm | doing_at:2026-01-23 | owner:codex | evidence:test:pass:cd test; npm test -- specs/ui/admin-users.spec.ts | done_at:2026-01-23
UIC-010,[P1][frontend][ui] btn-danger 需与 primary 明确区分,当前 .btn-danger 与 .btn-primary 同为 bg-accent text-white 会让删除等危险操作与主操作难以区分,btn-danger 改为明确危险色并保持 hover disabled 一致 同时 ConfirmProvider 与页面上的 btn-danger 外观统一,npm test --prefix test -- specs/ui/rag-page.spec.ts specs/ui/worldbook.spec.ts,manual,DONE,DONE,DONE,frontend/src/index.css | frontend/src/components/ui/ConfirmProvider.tsx | frontend/src/pages/rag/RagKnowledgeBasePanel.tsx | frontend/src/pages/WorldBookPage.tsx,none,priority:P1 | area:ui-consistency | page:global | repro:触发危险确认框或删除按钮 | expected:btn-danger 视觉上区别于 primary | evidence:frontend/src/index.css:128 btn-danger equals primary | evidence:frontend/src/components/ui/ConfirmProvider.tsx:72 uses btn-danger | doing_at:2026-01-23 | owner:codex | evidence:test:pass:npm test --prefix test -- specs/ui/rag-page.spec.ts specs/ui/worldbook.spec.ts | done_at:2026-01-23
