ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
DOC-001,[P0][docs][ux] 术语表与汉化规则（全局）,建立全局术语表与汉化规则用于后续统一命名与文案避免同一概念多种叫法,新增 docs/ux/glossary.md 且覆盖核心页面与高级调试页术语并给出中英文写法与示例,manual: review docs/ux/glossary.md,manual,DONE,DONE,DONE,docs/ux/glossary.md | ui设计规范.md,none,priority:P0 | area:ux-i18n | output:docs | done_at:2026-01-20 | evidence:docs/ux/glossary.md reviewed
DOC-002,[P0][docs][ux] 高级调试页统一分层设计规范,定义高级调试页统一结构与交互避免当前信息堆叠难用,新增 docs/ux/advanced-debug-page-guidelines.md 且包含结构模板空态错误态按钮命名与折叠策略,manual: review doc and compare Rag Graph Fractal StructuredMemory TaskCenter,manual,DONE,DONE,DONE,docs/ux/advanced-debug-page-guidelines.md | ui设计规范.md,DOC-001,priority:P0 | area:ux | output:docs | done_at:2026-01-20 | evidence:docs/ux/advanced-debug-page-guidelines.md reviewed
IA-001,[P0][docs][ia] 侧边栏信息架构 v1（含高级调试分组）,设计侧边栏分组与命名并明确高级调试入口与默认折叠策略,新增 docs/ux/navigation-ia-v1.md 且列出分组顺序路由清单命名规则与迁移策略,manual: review docs/ux/navigation-ia-v1.md and cross-check frontend routes,manual,DONE,DONE,DONE,docs/ux/navigation-ia-v1.md | frontend/src/App.tsx,DOC-001|DOC-002,priority:P0 | area:ia | output:docs | done_at:2026-01-20 | evidence:docs/ux/navigation-ia-v1.md reviewed vs frontend/src/App.tsx
MAP-001,[P0][docs][map] UI 页面与 API 路由对照表,建立页面到后端 routes/services 的映射避免重构遗漏与接口漂移,新增 docs/ux/ui-api-map.md 且覆盖 frontend/src/pages 与 backend/app/api/routes 全量并标注 owning services,"manual: review docs/ux/ui-api-map.md; rg -n -F ""/projects/{project_id}/vector/query"" backend/app/api/routes/vector.py; rg -n -F ""/projects/{project_id}/prompt_preview"" backend/app/api/routes/prompts.py; rg -n -F ""/auth/user"" backend/app/api/routes/auth.py (pass)",manual,DONE,DONE,DONE,docs/ux/ui-api-map.md | frontend/src/pages/* | backend/app/api/routes/*,IA-001,priority:P0 | area:docs | output:docs | done_at:2026-01-20 | evidence:docs/ux/ui-api-map.md + rg backend routes
DOC-003,[P0][docs][audit] 审计覆盖矩阵（页面 组件 按钮）,用可核对的矩阵记录本批次审计覆盖范围与对应 Issue 避免漏检,新增 docs/ux/audit-matrix.md 覆盖全部路由页与写作抽屉并为每项绑定 issue_id,manual: review docs/ux/audit-matrix.md ensure all routes & writing drawers mapped to issue_id (pass),manual,DONE,DONE,DONE,docs/ux/audit-matrix.md | plan/2026-01-20_19-08-47-full-repo-audit-ux-i18n.md,MAP-001,priority:P0 | area:audit | output:docs | done_at:2026-01-21 | refs:frontend/src/App.tsx;docs/ux/ui-api-map.md | evidence:docs/ux/audit-matrix.md created+reviewed; plan file added

LINT-001,[P0][frontend][lint] 修复 StructuredMemoryPage ESLint errors 并保持功能,StructuredMemoryPage 目前存在 no-explicit-any 与 set-state-in-effect 等错误导致 lint 无法通过,cd frontend npx eslint src/pages/StructuredMemoryPage.tsx 0 errors 且结构化记忆页面功能不回归,cd frontend npx eslint src/pages/StructuredMemoryPage.tsx; cd test npx playwright test specs/ui/structured-memory.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/StructuredMemoryPage.tsx | test/specs/ui/structured-memory.spec.ts,none,priority:P0 | area:lint | done_at:2026-01-20 | evidence:frontend eslint StructuredMemoryPage 0 errors; playwright structured-memory.spec.ts
LINT-002,[P0][frontend][lint] 修复 hooks 依赖警告并降低潜在竞态,Overlay MemoryUpdateDrawer RagPage WorldBookPage 存在 hooks deps warning 需通过重构或稳定引用修复,cd frontend npx eslint 指定文件无相关 warning 或采用明确可接受的 eslint-disable 并写明理由,cd frontend npx eslint src/components/ui/Overlay.tsx src/components/writing/MemoryUpdateDrawer.tsx src/pages/RagPage.tsx src/pages/WorldBookPage.tsx,manual,DONE,DONE,DONE,frontend/src/components/ui/Overlay.tsx | frontend/src/components/writing/MemoryUpdateDrawer.tsx | frontend/src/pages/RagPage.tsx | frontend/src/pages/WorldBookPage.tsx,none,priority:P0 | area:lint | done_at:2026-01-20 | evidence:frontend eslint Overlay MemoryUpdateDrawer RagPage WorldBookPage 0 warnings
FORMAT-001,[P0][frontend][format] Prettier 格式化并让 npm run lint 变绿,当前 prettier --check 报 13 个文件导致 npm run lint 失败需要按仓库规范统一格式,cd frontend npm run lint 通过（eslint + prettier check）,cd frontend npm run lint,manual,DONE,DONE,DONE,frontend/src/components/writing/AiGenerateDrawer.tsx | frontend/src/components/writing/ContextPreviewDrawer.tsx | frontend/src/components/writing/ForeshadowDrawer.tsx | frontend/src/components/writing/GenerationHistoryDrawer.tsx | frontend/src/pages/FractalPage.tsx | frontend/src/pages/PromptStudioPage.tsx | frontend/src/pages/RagPage.tsx | frontend/src/pages/SettingsPage.tsx | frontend/src/pages/StructuredMemoryPage.tsx | frontend/src/pages/TaskCenterPage.tsx | frontend/src/pages/WorldBookPage.tsx | frontend/src/services/apiClient.ts | frontend/src/services/worldbookApi.ts,LINT-001|LINT-002,priority:P0 | area:format | done_at:2026-01-20 | evidence:cd frontend npm run lint

