ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
TRI-001,[P1][backend][prompt] Prompt Inspector 预检接口（生成前拿到最终 prompt 与注入包）,新增“生成预检”API：返回与真实生成一致的 prompt_system/prompt_user/messages/render_log 与 MemoryContextPack 摘要；支持可选覆盖最终 prompt 文本但默认只读。,预检结果与真实生成 render_log 一致；可在不调用 LLM 的情况下拿到最终 prompt；默认不改变现有生成行为。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/routes/chapters.py | backend/app/schemas/chapter_generate.py | backend/app/services/prompt_presets.py | backend/app/services/memory_retrieval_service.py | backend/app/models/generation_run.py | test/specs/api/chapter-generate-precheck.contract.spec.ts,none,priority:P1 | area:prompt | refs:Amily/MiZheSi Prompt Inspector | risk:high 需确保预检不泄露密钥与可回放一致性 | done_at:2026-01-24 | evidence:pwsh test/run-all.ps1 (pass)
TRI-002,[P1][frontend][prompt][ux] Writing 生成前 Prompt Inspector 抽屉（可查看与可选编辑）,在写作页生成按钮旁新增“预检/审查”入口：展示 system/user/messages 与注入段落；可选编辑并以“使用覆盖文本执行”触发生成。,用户可在生成前看到最终 prompt 与注入来源；覆盖执行会在 UI 明示并可一键回退到默认；错误提示清晰。,cd test; npx playwright test --project=ui-chromium,manual,DONE,DONE,DONE,frontend/src/pages/WritingPage.tsx | frontend/src/pages/writing/useChapterGeneration.ts | frontend/src/components/writing/AiGenerateDrawer.tsx | frontend/src/components/writing/PromptInspectorDrawer.tsx | frontend/src/components/writing/types.ts | frontend/src/services/sseClient.ts,TRI-001,priority:P1 | area:prompt | refs:Amily/MiZheSi | risk:medium UI 交互与权限边界 | done_at:2026-01-24 | evidence:cd test; npx playwright test --project=ui-chromium (pass)
TRI-003,[P1][backend][prompt] generation_runs 记录“预检与覆盖”并支持导出回放,将预检结果与覆盖后的最终 prompt 以脱敏方式写入 generation_runs.params_json 并在导出中可选包含（默认关闭）。,可在 generation_runs 详情中看到预检摘要与覆盖标记；导出默认不包含敏感内容；回放定位信息完整。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/routes/chapters.py | backend/app/api/routes/generation_runs.py | backend/app/llm/redaction.py | test/specs/api,TRI-001,priority:P1 | area:observability | risk:high 脱敏与数据体积控制 | done_at:2026-01-24 | evidence:pwsh test/run-all.ps1 (pass) | export:debug_bundle?include_prompt_inspector=1
TRI-004,[P1][frontend][ux] 生成流水线视图（plan/generate/post_edit/memory_update）与 run 链接,在写作页与 GenerationRuns 页面增加“流水线视图”：把一次生成涉及的多个 run（plan 或 post_edit 或 memory_update）串联展示并提供一键跳转。,用户可看懂一次生成做了哪些步骤；每步都有 run_id 与状态；失败可定位到具体步骤与 request_id。,cd test; npx playwright test --project=ui-chromium,none,DONE,DONE,DONE,frontend/src/pages/WritingPage.tsx | frontend/src/components/writing/GenerationHistoryDrawer.tsx | frontend/src/pages/writing/useGenerationHistory.ts | frontend/src/pages/PreviewPage.tsx | backend/app/api/routes/generation_runs.py,TRI-003,priority:P1 | area:ux | refs:MuMu 章节生成阶段化进度 | risk:medium 需要扩展 generation_runs 展示 | done_at:2026-01-24 | evidence:cd test; npx playwright test --project=ui-chromium (pass) | impl:pipeline_view_by_request_id
TRI-005,[P1][frontend][ux] Post-edit 前后对比视图（PreOptimizationViewer 风格）并支持采用原稿,当启用 post_edit 时在结果面板提供“原稿/后处理稿/差异”三视图；支持一键采用原稿或后处理稿并记录选择。,用户能清晰看到 post_edit 改了什么；可手动回退；保存时记录采用策略且可回放。,cd test; npx playwright test --project=ui-chromium,manual,DONE,DONE,DONE,frontend/src/components/writing/AiGenerateDrawer.tsx | frontend/src/components/writing/PostEditCompareDrawer.tsx | frontend/src/pages/WritingPage.tsx | frontend/src/pages/writing/useChapterGeneration.ts | backend/app/api/routes/chapters.py | backend/app/services/generation_pipeline.py,none,priority:P1 | area:ux | refs:Amily/PreOptimizationViewer | risk:medium diff 组件与 Markdown 结构差异 | done_at:2026-01-24 | evidence:cd test; npx playwright test --project=ui-chromium (pass) | impl:post_edit_compare+adoption_record
TRI-006,[P2][backend][prompt] 新增可选“正文优化”阶段（标签块替换式重写）,引入独立于 post_edit 的“正文优化”阶段：支持按标签块抽取与替换规则执行二次优化；默认关闭且可观测。,开启后对生成结果做可控优化且可回放；关闭时行为不变；失败降级返回原文并给出 warning。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/schemas/chapter_generate.py | backend/app/api/routes/chapters.py | backend/app/services/batch_generation_service.py | backend/app/services/generation_pipeline.py | backend/app/services/output_contracts.py | backend/app/services/output_parsers.py | backend/app/services/post_edit_validation.py | backend/app/services/prompt_presets.py | backend/app/resources/prompt_presets,none,priority:P2 | area:prompt | refs:Amily/core/summarizer.js 标签块替换 | risk:high 需避免过度改写与误删内容 | done_at:2026-01-25 | evidence:pwsh test/run-all.ps1 (pass) | impl:content_optimize_stage(flag+run_type+failsoft)+preset(content_optimize_v1)+tag_block_parser_enhance
TRI-007,[P0][frontend][prompt] 新手模式 PromptTemplates 页（系统默认 + 用户覆盖）,新增简化版 Prompt 编辑页：按任务分类展示系统默认模板；编辑即生成用户覆盖；支持重置与导入导出；不取代 Prompt Studio。,新手无需理解 blocks 即可调整关键提示词；与真实渲染一致；与 Prompt Studio 数据互通且不互相破坏。,cd frontend; npm run lint && npm test && npm run build,none,DONE,DONE,DONE,frontend/src/pages/PromptTemplatesPage.tsx | frontend/src/App.tsx | frontend/src/services/apiClient.ts,none,priority:P0 | area:ux | refs:MuMu/PromptTemplates.tsx | risk:medium presets 映射依赖 backend resource list | done_at:2026-01-24 | evidence:cd frontend; npm run lint && npm test && npm run build (pass) | impl:newbie_prompt_templates_page+reset+import_export_all
TRI-008,[P0][backend][prompt] Preset 级 reset-to-default 与分类元信息,为 PromptPreset/Block 增加“系统默认资源对齐”能力：可重置单 preset 或单 block 到资源版本；并提供分类元信息供新手页使用。,可通过 API 重置到资源版本；不破坏用户自定义导入导出；分类字段可用于前端分组。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/routes/prompts.py | backend/app/models/prompt_preset.py | backend/app/schemas/prompt_presets.py | backend/app/services/prompt_preset_resources.py | backend/app/services/prompt_presets.py | backend/app/resources/prompt_presets/*/preset.json | backend/alembic/versions/33aadf6df492_add_prompt_preset_resource_key.py | backend/tests/test_prompt_preset_reset_endpoints.py | test/contracts/db_schema.json,none,priority:P0 | area:prompt | refs:MuMu 系统默认+用户覆盖 | risk:medium schema+默认资源对齐 | done_at:2026-01-24 | evidence:pwsh test/run-all.ps1 (pass) | impl:prompt_preset_resources(category)+reset_to_default(preset/block)+resource_key
TRI-009,[P2][backend][import] 小说文本导入任务（upload→chunk→向量与摘要）,“导入小说/资料”后端能力：上传 txt/md；切分 chunk；写入 ProjectSourceDocument 并触发向量入库与摘要产物（story_memory/worldbook 提案）。,支持大文件导入且有进度与失败可重试；产物可追溯到源文件与 chunk；默认不自动污染长期记忆。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/router.py | backend/app/api/routes/import_export.py | backend/app/models/__init__.py | backend/app/models/project_source_document.py | backend/app/services/import_export_service.py | backend/app/services/task_queue.py | backend/alembic/versions/d8ffc3ff79f5_add_project_source_documents.py | test/contracts/db_schema.json,none,priority:P2 | area:import | refs:Amily/Glossary 小说导入 | risk:high 大文件与任务编排 | done_at:2026-01-25 | evidence:pwsh test/run-all.ps1 (pass) | impl:project_source_documents+chunks+imports_api+import_task_queue+retry_cleanup
TRI-010,[P2][frontend][import][ux] 小说导入 UI（进度/预览/应用提案）,新增导入页并在 RAG 页增加入口：展示文件列表与进度；可预览生成的 worldbook/story_memory 提案并选择应用。,用户可安全导入并明确“预览→应用”；失败可重试；应用后可在相关页面看到变化（worldbook 页 / memory preview）。,cd test; npx playwright test --project=ui-chromium,manual,DONE,DONE,DONE,frontend/src/pages/ImportPage.tsx | frontend/src/pages/RagPage.tsx | frontend/src/App.tsx | backend/app/api/routes/memory.py | test/specs/ui/import.spec.ts | test/specs/ui/visual.spec.ts-snapshots/rag-ui-chromium-win32.png,TRI-009,priority:P2 | area:ux | risk:high 需要任务中心联动与大文件体验 | done_at:2026-01-25 | evidence:cd test; npx playwright test --project=ui-chromium (pass) | impl:import_page+rag_entry+apply_worldbook+story_memory_import_all+rag_visual_snapshot
