ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
REV-001,[security][auth] Cookie session CORS CSRF 审计,审计 Cookie 会话与 CORS allow_credentials 的组合风险并给出 prod 推荐配置与必要修复点,落盘 docs/reviews/REV-001.md 含结论 风险 证据 建议 如需修复则最小改动并补测试,manual: rg -n 'allow_credentials|auth_cookie_samesite|set_cookie' backend/app -S; review backend/app/main.py backend/app/core/auth_session.py backend/app/core/config.py; 若改动则跑 pwsh test/run-all.ps1,manual,DONE,DONE,DONE,backend/app/main.py | backend/app/core/auth_session.py | backend/app/core/config.py | frontend/src/services/apiClient.ts,none,priority:P0 | area:security | output:docs/reviews/REV-001.md | evidence:rg allow_credentials(main.py:97) set_cookie(auth_session.py) samesite(config.py) | done_at:2026-01-11
REV-002,[security][auth] dev fallback user 审计与 prod 护栏,审计 dev_fallback 机制与前后端行为 确认 prod 不可被误启用并补充文档护栏,落盘 docs/reviews/REV-002.md 含 threat model 与最终建议 如需修复则加回归用例,manual: rg -n 'auth_dev_fallback_user_id|dev_fallback|_ensure_local_user' backend/app frontend/src -S; 若改动跑 cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p test_*.py -v,manual,DONE,DONE,DONE,backend/app/main.py | backend/app/core/config.py | frontend/src/contexts/AuthContext.tsx,none,priority:P0 | area:security | output:docs/reviews/REV-002.md | evidence:rg dev_fallback main.py AuthContext.tsx | docs:backend/.env.example README.md | done_at:2026-01-11
REV-003,[security][rbac] /api 越权 IDOR 全量审计,逐个审计 backend/app/api/routes 下所有路由的 viewer editor owner 依赖与资源级隔离 防止跨 project 访问,落盘 docs/reviews/REV-003.md 含逐路由 checklist 与发现清单 必要时补 contract tests,manual: rg -n '^@router\\.(get|post|put|delete)\\(' backend/app/api/routes -S; inspect require_project_* require_*_viewer/editor; 若改动跑 cd test; npm test -- specs/api/auth-rbac.contract.spec.ts,manual,DONE,DONE,DONE,backend/app/api/routes/* | backend/app/api/deps.py | test/specs/api/auth-rbac.contract.spec.ts,none,priority:P0 | area:security | output:docs/reviews/REV-003.md | evidence:rg router decorators + deps require_project_* | done_at:2026-01-11
REV-004,[security][validation] Backend 输入校验与 fail closed 审计,审计所有请求 schema 与 Query Header 字段的边界与 extra 策略 确保拒绝危险字段与超大 payload,落盘 docs/reviews/REV-004.md 含缺失边界清单与建议修复 必要时补单测,manual: rg -n 'BaseModel|Field\\(|Query\\(|Header\\(' backend/app/schemas backend/app/api/routes -S; 若改动跑 cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p test_*.py -v,manual,DONE,DONE,DONE,backend/app/schemas/* | backend/app/api/routes/*,none,priority:P0 | area:security | output:docs/reviews/REV-004.md | fix:Header max_length for X-LLM-* | test:backend unittest OK (83) | done_at:2026-01-11
REV-005,[security][injection] SQL text 与 Prompt template 注入面审计,审计 vector_rag_service 的 SQLAlchemy text 用法与 prompt 体系模板渲染安全子集 防止 SQL 模板注入,落盘 docs/reviews/REV-005.md 含证据与修复建议 必要时补测试,"manual: rg -n 'text\\(|f\""\""\""|render_preset_for_task|template' backend/app -S; review backend/app/services/vector_rag_service.py backend/app/services/prompt_presets.py README.md",manual,DONE,DONE,DONE,backend/app/services/vector_rag_service.py | backend/app/services/prompt_presets.py | backend/app/resources/prompt_presets/*,none,priority:P0 | area:security | output:docs/reviews/REV-005.md | evidence:text() param binding + safe template engine | done_at:2026-01-11
REV-006,[security][xss] 前端 Markdown 渲染与注入预览 XSS 审计,审计前端所有 Markdown 渲染路径与注入预览组件 确保无危险 HTML 注入与脚本执行,落盘 docs/reviews/REV-006.md 含扫描结果与修复建议 必要时补 E2E 回归,manual: rg -n 'dangerouslySetInnerHTML|innerHTML|react-markdown|marked|sanitize' frontend/src -S; review PreviewPage ChapterAnalysisPage PromptStudio 等,manual,DONE,DONE,DONE,frontend/src/pages/* | frontend/src/components/*,none,priority:P0 | area:security | output:docs/reviews/REV-006.md | evidence:no dangerouslySetInnerHTML; react-markdown no rehypeRaw | done_at:2026-01-11
REV-007,[security][secrets] API Key Token 脱敏与响应面审计,确保日志与响应从不输出明文 key token 仅允许 has_api_key masked_api_key 并审计相关调用点,落盘 docs/reviews/REV-007.md 含扫描证据与修复建议 必要时补测试,manual: rg -n 'api_key|Authorization|Bearer|X-LLM-API-Key|masked_api_key|has_api_key' backend/app frontend/src -S; review app/core/logging.py app/core/secrets.py llm providers,manual,DONE,DONE,DONE,backend/app/core/logging.py | backend/app/core/secrets.py | backend/app/services/* | frontend/src/services/apiClient.ts,none,priority:P0 | area:security | output:docs/reviews/REV-007.md | evidence:masked_api_key/has_api_key + log redaction | done_at:2026-01-11
REV-008,[data][sqlite] 单 worker 与 LLM 调用事务边界审计,审计所有 LLM 调用链路确保不持有长事务 并核对 SQLite 单 worker 约束在代码与文档中一致,落盘 docs/reviews/REV-008.md 含调用链图与需修复点 必要时补测试,manual: rg -n 'SessionLocal\\(|with SessionLocal\\(|call_llm|call_llm_and_record' backend/app/api/routes backend/app/services -S; review backend/app/main.py README.md,manual,DONE,DONE,DONE,backend/app/main.py | backend/app/api/routes/chapters.py | backend/app/api/routes/outline.py | backend/app/api/routes/chapter_analysis.py | backend/app/services/run_store.py,none,priority:P0 | area:data | output:docs/reviews/REV-008.md | evidence:db.close before LLM + run_store independent session | done_at:2026-01-11
REV-009,[data][migrations] Alembic 与 db_schema.json 基线一致性审计,对齐 backend/alembic/versions 与 test/contracts/db_schema.json 并审计 ensure_db_schema 对 legacy sqlite 的 stamp 行为,落盘 docs/reviews/REV-009.md 含差异清单 若需修复保证 db-schema spec 通过,manual: cd test; npm test -- specs/db/db-schema.spec.ts; 若基线需更新跑 pwsh test/scripts/snapshot-db.ps1,manual,DONE,DONE,DONE,backend/alembic/versions/* | backend/app/db/migrations.py | test/contracts/db_schema.json,none,priority:P0 | area:data | output:docs/reviews/REV-009.md | test:specs/db/db-schema.spec.ts PASS | baseline:no-change | done_at:2026-01-11
REV-010,[data][migration] SQLite 到 Postgres 搬运脚本审计,审计 migrate_sqlite_to_postgres 脚本的 resume dry_run 校验报告与敏感信息处理 并补充文档,落盘 docs/reviews/REV-010.md 含 checklist 与改进建议,manual: python backend/scripts/migrate_sqlite_to_postgres.py --help; review backend/scripts/migrate_sqlite_to_postgres.py backend/scripts/migrate_sqlite_to_postgres.md,manual,DONE,DONE,DONE,backend/scripts/migrate_sqlite_to_postgres.py | backend/scripts/migrate_sqlite_to_postgres.md,none,priority:P1 | area:data | output:docs/reviews/REV-010.md | docs:updated migrate_sqlite_to_postgres.md | done_at:2026-01-11
REV-011,[feature][worldbook] WorldBook CRUD trigger injection review,审计 worldbook_entries 的 CRUD RBAC 与触发算法 以及注入格式与截断语义,落盘 docs/reviews/REV-011.md 含边界用例清单 必要时补测试,manual: cd test; npm test -- specs/ui/worldbook.spec.ts; cd test; npm test -- specs/api/worldbook-preview.contract.spec.ts; cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p test_worldbook_service_trigger.py -v,manual,DONE,DONE,DONE,backend/app/api/routes/worldbook.py | backend/app/services/worldbook_service.py | frontend/src/pages/WorldBookPage.tsx,none,priority:P0 | area:feature | output:docs/reviews/REV-011.md | tests:ui+api+backend PASS | done_at:2026-01-11
REV-012,[feature][analysis] plot_analysis apply 幂等与 story_memories 一致性 review,审计 plot_analysis_service apply 的哈希口径 managed types 覆盖策略 与 GenerationRun 审计记录,落盘 docs/reviews/REV-012.md 含一致性风险点与修复建议,manual: cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p test_plot_analysis_apply.py -v; cd test; npm test -- specs/ui/chapter-analysis-apply.spec.ts,manual,DONE,DONE,DONE,backend/app/services/plot_analysis_service.py | backend/app/models/story_memory.py | backend/app/api/routes/chapter_analysis.py,none,priority:P0 | area:feature | output:docs/reviews/REV-012.md | tests:backend+ui PASS | done_at:2026-01-11
REV-013,[feature][analysis] annotations fallback 与 ChapterAnalysisPage 高亮 review,审计 annotations_service 定位兜底与前端 AnnotatedText 分段高亮算法 确保重叠与长文性能可靠,落盘 docs/reviews/REV-013.md 含问题与优化建议 必要时补单测或 E2E,manual: cd frontend; npm test; cd test; npm test -- specs/api/chapter-analysis.contract.spec.ts; cd test; npm test -- specs/ui/chapter-analysis-apply.spec.ts,manual,DONE,DONE,DONE,backend/app/services/annotations_service.py | frontend/src/components/chapterAnalysis/* | frontend/src/pages/ChapterAnalysisPage.tsx,none,priority:P0 | area:feature | output:docs/reviews/REV-013.md | fix:backend position_fallback validates full content_len | tests:backend+frontend+e2e PASS | pw_report:test/.artifacts/playwright-report/index.html | done_at:2026-01-12
REV-014,[feature][memory-pack] MemoryContextPack 与 ContextPreviewDrawer review,审计 memory/retrieve 输出结构与 pack.logs 语义 以及前端 drawer 的解析与注入开关一致性,落盘 docs/reviews/REV-014.md 含 fail soft 行为与修复建议,manual: cd test; npm test -- specs/api/memory-retrieve.contract.spec.ts; cd test; npm test -- specs/ui/memory-context-preview.spec.ts,manual,DONE,DONE,DONE,backend/app/api/routes/memory.py | backend/app/services/memory_retrieval_service.py | frontend/src/components/writing/ContextPreviewDrawer.tsx,none,priority:P0 | area:feature | output:docs/reviews/REV-014.md | tests:e2e api+ui PASS | pw_report:test/.artifacts/playwright-report/index.html | done_at:2026-01-12
