ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
LMEM-401,[P0][both][phase:5.2] 生成链路接入 memory_injection_enabled（前后端贯通）,当前 memory_injection_enabled 仅保存在前端 localStorage 并用于 ContextPreviewDrawer；生成请求 payload 未携带该字段，后端 ChapterGenerateRequest 也未定义，导致“记忆注入开关”不影响实际生成链路。,前端生成请求携带 memory_injection_enabled；后端 schema 接受并保持向后兼容（缺省=关闭）；generation_runs.params_json 记录该字段用于回放定位。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,frontend/src/pages/writing/useChapterGeneration.ts | backend/app/schemas/chapter_generate.py | backend/app/api/routes/chapters.py | test/specs/api/generation-runs.contract.spec.ts,none,priority:P0 | area:both | phase:5.2 | refs:backend/app/api/routes/chapters.py:818;frontend/src/pages/writing/useChapterGeneration.ts:40 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-402,[P0][backend][phase:5.2] chapter_generate 注入 render_values.memory + 真实 memory_retrieval_log_json,"按规划 §3.1/§5.2：生成前应构建 MemoryContextPack 并挂载到 render_values[""memory""]，同时将检索日志写入 generation_runs.params_json.memory_retrieval_log_json。当前实现固定传 None（chapters.py）并写入 Phase0 placeholder。",当 memory_injection_enabled=true：chapter_generate 渲染前构建 pack（至少 worldbook/vector_rag/fractal 可用时填充），注入到 render_values.memory；并将非占位的 memory_retrieval_log_json 写入 generation_runs.params_json。关闭时保持旧行为。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/routes/chapters.py | backend/app/services/memory_retrieval_service.py | backend/app/services/generation_service.py,LMEM-401,priority:P0 | area:backend | phase:5.2 | refs:backend/app/services/memory_retrieval_service.py:14;backend/app/api/routes/chapters.py:818 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-403,[P0][backend][phase:7.4] 新增推荐章节预设 chapter_generate_v4：sys.memory.* 注入块,规划 §5.2/§7.4/§8.6 要求在推荐章节预设中新增 sys.memory.* PromptBlocks（marker_key=memory.<section>.text_md）用于实际注入。当前默认章节预设 chapter_generate_v3 不包含任何 memory blocks。,新增 resources/prompt_presets/chapter_generate_v4（version=4），包含 sys.memory.worldbook/story_memory/structured/vector_rag/graph_context/fractal 等 blocks；不强制迁移老项目（避免破坏现有生成）。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/resources/prompt_presets/chapter_generate_v4/* | backend/app/services/prompt_preset_resources.py | backend/app/services/prompt_presets.py | test/specs/ui/prompt-studio-preview.spec.ts,none,priority:P0 | area:backend | phase:7.4 | refs:backend/app/resources/prompt_presets/chapter_generate_v3/preset.json | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-404,[P0][both][phase:5.1] /memory/retrieve 从 Phase0 占位升级为“真实 pack”（并同步 UI/契约测试）,当前 /api/projects/{project_id}/memory/retrieve 仍为 Phase0 placeholder：story_memory/structured/graph 常驻 disabled_reason=not_implemented，即便这些模块已实现（story_memories/structured_memory/graph_context）。ContextPreviewDrawer 与契约测试因此只能覆盖“空包形态”，无法作为真实注入调试面。,memory/retrieve 返回各 section 的真实 enabled/disabled_reason、可用数据与 text_md（缺依赖时仍 fail-soft）；更新 ContextPreviewDrawer 与 Playwright contract/UI 用例以匹配新合约。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/services/memory_retrieval_service.py | backend/app/api/routes/memory.py | frontend/src/components/writing/ContextPreviewDrawer.tsx | test/specs/api/memory-retrieve.contract.spec.ts | test/specs/ui/memory-context-preview.spec.ts,LMEM-402,priority:P0 | area:both | phase:5.1 | refs:backend/app/services/memory_retrieval_service.py:16;test/specs/api/memory-retrieve.contract.spec.ts:1 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-405,[P1][backend][phase:6.x] story_memories 检索与注入：StoryMemoryContext（无向量依赖）,规划 §6/§5 要求 story_memories 作为生成前检索来源并可注入到 prompt。当前 story_memories 仅用于 analysis/apply 与 annotations UI，不参与 memory pack/生成链路。,提供 story_memory section 的检索策略（按 chapter_range/type/importance/query_text 等）与注入格式（text_md + 截断/预算）；并在 memory/retrieve 与 chapter_generate（开启注入时）可观察到效果。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/services/plot_analysis_service.py | backend/app/models/story_memory.py | backend/app/services/memory_retrieval_service.py | test/specs/api/chapter-analysis.contract.spec.ts,LMEM-404,priority:P1 | area:backend | phase:6.x | refs:长期记忆系统完整实现规划.md:§6 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-406,[P1][backend][phase:9.x] structured memory 注入：entities/relations/events/foreshadows 的 text_md 组合规则,规划 §9/§5 要求结构化记忆可在生成前注入（structured.text_md）并可被 prompt blocks 引用。当前结构化表与 MemoryUpdate 已实现，但未产出“注入用 text_md”且未进入 memory pack/生成链路。,实现 structured section 的注入拼装规则（排序/去重/char_limit/软删过滤/可选 include_deleted），输出 structured.text_md；在 memory/retrieve 与 generation（开启注入时）可见。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/models/structured_memory.py | backend/app/api/routes/memory.py | backend/app/services/memory_retrieval_service.py | backend/tests/test_structured_memory_restore_on_create.py,LMEM-404,priority:P1 | area:backend | phase:9.x | refs:长期记忆系统完整实现规划.md:§9 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-407,[P1][backend][phase:10.x] GraphContext 接入 memory pack：支持 query_text 与 prompt_block 注入,graph_context_service/query_graph_context 已实现并可在 GraphPage 调试，但 memory pack 里 graph 仍是 not_implemented，且生成链路未注入 sys.memory.graph_context。,memory pack graph section 返回 query_graph_context 的结果（matched ids + prompt_block.text_md + 截断信息）；chapter_generate 在开启注入时可注入并记录日志。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/services/graph_context_service.py | backend/app/api/routes/graph.py | backend/app/services/memory_retrieval_service.py | test/specs/ui/graph-page.spec.ts,LMEM-404,priority:P1 | area:backend | phase:10.x | refs:backend/app/services/graph_context_service.py:1 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-408,[P1][backend][phase:8.x] VectorRAG 接入生成链路：确定 query_text 策略 + 注入 + 可观测,vector_rag_service 已支持 ingest/query（Chroma/pgvector + hybrid RRF），但仅在 ContextPreviewDrawer 手动调试；生成链路未调用 query_project，也未注入 sys.memory.vector_rag。需要定义“生成时 query_text 从何而来/如何配置”。,为 chapter_generate 定义并实现 vector_rag 的 query_text 策略（默认可用：基于 instruction/plan/章节要点，或由 UI 显式提供）；开启注入时生成会注入 vector_rag.prompt_block.text_md，并将 counts/dropped/timings 写入 memory_retrieval_log_json。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/services/vector_rag_service.py | backend/app/api/routes/vector.py | backend/app/services/memory_retrieval_service.py | frontend/src/components/writing/ContextPreviewDrawer.tsx,LMEM-404,priority:P1 | area:backend | phase:8.x | refs:长期记忆系统完整实现规划.md:§8 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-409,[P1][frontend][phase:0.2] 写作页“记忆注入”从占位变为可配置：query_text/分模块开关/回放可见,当前 WritingPage/AiGenerateDrawer 只有 memory_injection_enabled 占位开关；ContextPreviewDrawer 的 worldbook 开关与 vector query 也仅用于调试，不会影响生成。需要把“生成时的记忆注入配置”做成真实可控项并写入回放（generation_runs）。,写作页可配置：是否启用记忆注入、各模块开关、（至少）vector/graph 的 query_text；生成请求携带配置；生成历史回放可看到该配置与注入日志。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,frontend/src/components/writing/types.ts | frontend/src/components/writing/AiGenerateDrawer.tsx | frontend/src/pages/writing/useChapterGeneration.ts | frontend/src/components/writing/ContextPreviewDrawer.tsx | backend/app/schemas/chapter_generate.py | backend/app/api/routes/chapters.py | backend/app/services/memory_retrieval_service.py | test/specs/ui/memory-context-preview.spec.ts,LMEM-401 | LMEM-402,priority:P1 | area:frontend | phase:0.2 | refs:frontend/src/pages/writing/useChapterGeneration.ts:40 | scope:need_backend_schema_to_store_memory_config | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
LMEM-410,[P2][frontend][phase:8.6] 新增 Vector RAG 管理页（ingest/rebuild/query/注入预览）,规划 §8.6 建议提供 RagPage：collections/status/ingest/rebuild/query/注入预览。当前仅在 ContextPreviewDrawer 有“调试 query”，且缺少一键 ingest/rebuild 的可视化入口。,新增页面路由（例如 /projects/:id/rag）：支持 ingest/rebuild/query；展示 counts、backend_preferred、hybrid_enabled、disabled_reason；可复制注入文本用于排查。,pwsh test/run-all.ps1,none,DONE,DONE,DONE,frontend/src/App.tsx | frontend/src/pages/* | backend/app/api/routes/vector.py | test/specs/ui/*,none,priority:P2 | area:frontend | phase:8.6 | refs:长期记忆系统完整实现规划.md:§8.6 | done_at:2026-01-13 | evidence:pwsh test/run-all.ps1 PASS
