ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
FEOA-C01,[P1][frontend][cross] “A4 纸面”宽度/留白缺少统一约束（阅读与写作体验不稳定）,问题：Paper & Ink 的核心“纸在桌上”的阅读体验需要稳定的行长与留白；当前不同页面宽度策略分裂，导致同一字体/字号在不同页面观感差异很大。 | 影响：阅读疲劳、排版不一致、截图/演示时风格不统一。,建议（不改设计方向，做“收敛”）： | 为“内容型页面”（写作/大纲/阅读/预览/导出）统一采用 `max-w-4xl mx-auto` 级别的纸面宽度；“工具型页面”（高级调试/配置）可保留更宽，但需明确分层。 | 在 `AppShell` 层提供可复用容器：`<PaperContent>`（窄）与 `<ToolContent>`（宽）。 | 动效：页面进入统一使用 `fadeUpVariants`（`frontend/src/lib/motion.ts:20`）。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/components/layout/AppShell.tsx | frontend/src/pages/PreviewPage.tsx | frontend/src/pages/ChapterReaderPage.tsx | frontend/src/pages/WritingPage.tsx | frontend/src/lib/motion.ts,none,priority:P1 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:61 | evidence:frontend/src/components/layout/AppShell.tsx | frontend/src/pages/PreviewPage.tsx | frontend/src/pages/ChapterReaderPage.tsx | frontend/src/pages/WritingPage.tsx | frontend/src/lib/motion.ts | picked_reason:P1 先提供可复用 PaperContent/ToolContent 并在核心内容页落地，解锁后续 P0 纸面优化 | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 仅收敛内容容器宽度与页面进入动效（无业务逻辑变更）
FEOA-C02,[P1][frontend][cross] 输入控件风格与 `ui设计规范.md` 3.2 不一致（Underline/Minimal Block）,问题：配置/写作场景里大量盒状输入会造成“表格/工程表单感”，与 Atelier 的“填空题/纸面批注”意象相冲突。 | 影响：视觉噪音上升，重要信息层级不清；长表单更累。,建议： | 保留 `.input` 作为通用控件，但为写作/设置型页面引入“下划线式”变体（例如 `.input-underline` / `.textarea-underline`），并在关键页面优先使用。 | 对 JSON/长文本编辑，优先用 “Minimal Block”（极淡底色 + focus-within 边框微强调），避免大块边框堆叠。 | 伪代码见“Appendix A：Underline Input”。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/index.css,none,priority:P1 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:74 | evidence:frontend/src/index.css | picked_reason:P1 cross 基础设施且 deps=none 已满足 | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; E2E_BACKEND_URL=http://127.0.0.1:8001 E2E_FRONTEND_URL=http://127.0.0.1:5174; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 新增 input/textarea 变体 class（未改现有页面引用）
FEOA-C03,[P1][frontend][cross] Focus（键盘）策略：按钮可保留环形强调，文本输入建议弱化 ring,问题：对按钮/卡片而言 ring-2 合理；对文本输入而言 ring+完整边框会叠加成“强强调”，破坏写作沉浸。,建议： | 维持 `.ui-focus-ring` 用于 pressable（按钮/可点击卡片）。 | 对文本输入（尤其写作标题/关键字段）优先采用“下划线变色 + 轻微背景变化”的 focus-within 方案。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/index.css,none,priority:P1 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:86 | evidence:frontend/src/index.css | picked_reason:P1 cross 基础设施且 deps=none 已满足 | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; E2E_BACKEND_URL=http://127.0.0.1:8001 E2E_FRONTEND_URL=http://127.0.0.1:5174; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low input/textarea/select 默认改为弱化 focus ring（保留 pressable 的 ui-focus-ring）
FEOA-C04,[P0][frontend][cross] 请求 ID（request_id）展示与复制不一致（排障路径断裂）,问题：排障时用户需要“稳定可见且可复制”的请求 ID（request_id），只靠 toast 很容易错过；成功态同样需要保留，便于复盘。 | 影响：定位问题成本高；支持/运营复现困难。,建议： | 统一组件：`<RequestIdBadge requestId=... />`（含复制按钮 + UI_COPY 文案）。 | 高级调试页：固定放在 Overview/Status 区；业务页：放在“结果摘要/错误卡片”右侧。 | 伪代码见“Appendix B：RequestIdBadge”。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/components/ui/ToastProvider.tsx | frontend/src/pages/ChapterAnalysisPage.tsx | frontend/src/pages/ForeshadowsPage.tsx | frontend/src/pages/GraphPage.tsx | frontend/src/pages/FractalPage.tsx | frontend/src/components/ui/RequestIdBadge.tsx,none,priority:P0 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:96 | evidence:frontend/src/components/ui/ToastProvider.tsx | frontend/src/pages/ChapterAnalysisPage.tsx | frontend/src/pages/ForeshadowsPage.tsx | frontend/src/pages/GraphPage.tsx | frontend/src/pages/FractalPage.tsx | frontend/src/components/ui/RequestIdBadge.tsx | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 仅 UI 展示与复制入口收敛
FEOA-C05,[P1][frontend][cross] 复制（Clipboard）实现分裂，部分退化方案破坏沉浸,问题：复制能力是调试/配置页的高频操作；实现分裂会导致“某些页能复制、某些页复制失败/弹原生 prompt”的体验断裂。,建议： | 收敛到一个 `copyText(text， opts)` 工具函数，内部优先 `navigator.clipboard`，失败时弹出应用内 Modal（可选中复制），禁止 `window.prompt`。 | 伪代码见“Appendix C：copyText()”。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/TaskCenterPage.tsx | frontend/src/pages/rag/RagQueryPanel.tsx | frontend/src/pages/AdminUsersPage.tsx | frontend/src/components/writing/contextPreview/utils.ts | frontend/src/lib/copyText.ts | frontend/src/components/ui/CopyFallbackModal.tsx,none,priority:P1 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:111 | evidence:frontend/src/pages/TaskCenterPage.tsx | frontend/src/pages/rag/RagQueryPanel.tsx | evidence:frontend/src/pages/AdminUsersPage.tsx | evidence:frontend/src/components/writing/contextPreview/utils.ts | evidence:frontend/src/lib/copyText.ts | evidence:frontend/src/components/ui/CopyFallbackModal.tsx | picked_reason:P1 先收敛 Clipboard 工具与 fallback Modal，解锁多个 P0 request_id/排障复制项 | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 收敛复制路径并用应用内弹窗替代原生 prompt
FEOA-C06,[P1][frontend][cross] Loading / Empty / Error 状态缺少统一“可行动”模板,问题：纯文本加载/空态缺少层级与下一步指引；高级调试页更需要“下一步按钮”。,建议： | 列表/卡片页：使用 Skeleton 占位（与真实布局同结构）。 | 空态：必须给出“下一步 CTA”（例如“新建角色”“去写作”“触发入库”）。 | 错误态：除 toast 外，应有页内可见 Error 卡片（带 request_id + copy）。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/CharactersPage.tsx | frontend/src/pages/PromptStudioPage.tsx | frontend/src/pages/SettingsPage.tsx | frontend/src/pages/PromptsPage.tsx | frontend/src/index.css,none,priority:P1 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:122 | evidence:frontend/src/pages/CharactersPage.tsx | frontend/src/pages/PromptStudioPage.tsx | frontend/src/pages/SettingsPage.tsx | frontend/src/pages/PromptsPage.tsx | frontend/src/index.css | picked_reason:P1 cross 状态模板依赖项且 deps=none 已满足 | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; E2E_BACKEND_URL=http://127.0.0.1:8001 E2E_FRONTEND_URL=http://127.0.0.1:5174; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:medium 多页面 loading/error UI 调整（新增 skeleton + error-card + request_id copy）
FEOA-C07,[P1][frontend][cross] 滚动与高度：`calc(100vh-xxx)` + 多层 `overflow-auto` 易造成 scroll trap,问题：高度魔法数对 header/底栏变化非常敏感，容易出现双滚动条/底部内容被遮挡。,建议： | 页面级布局优先用 `flex` + `min-h-0` + 单一滚动容器。 | 大块 JSON/日志默认折叠（DebugDetails）或移入 Drawer，减少嵌套滚动。 | 伪代码见“Appendix D：FlexFillScrollable”。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/pages/ChapterAnalysisPage.tsx | frontend/src/components/chapterAnalysis/MemorySidebar.tsx | frontend/src/components/ui/Modal.tsx,none,priority:P1 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:133 | evidence:frontend/src/pages/ChapterAnalysisPage.tsx | frontend/src/components/chapterAnalysis/MemorySidebar.tsx | frontend/src/components/ui/Modal.tsx | picked_reason:P1 先消除 scroll trap 基础问题，解锁后续 Drawer/小屏滚动类 P0 | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 移除魔法高度/嵌套滚动并改进 Modal 视口高度适配
FEOA-C08,[P1][frontend][cross] 颜色语义：仍大量使用 amber/red/rose（与 token 化方向不一致）,问题：hard-coded 色值会在浅色/深色、不同背景层级下产生对比不稳定；也会造成“页面各自为政”的警告/危险视觉语言。,建议： | 统一语义类：`text-warning/bg-warning`， `text-danger/bg-danger` 等（基于 CSS variables）。 | 统一“风险提示块”组件（标题/正文/可折叠/复制 request_id）。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/index.css | frontend/src/components/writing/AiGenerateDrawer.tsx | frontend/src/pages/WorldBookPage.tsx | frontend/src/pages/TaskCenterPage.tsx,none,priority:P1 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:145 | evidence:frontend/src/index.css | frontend/src/components/writing/AiGenerateDrawer.tsx | frontend/src/pages/WorldBookPage.tsx | frontend/src/pages/TaskCenterPage.tsx | picked_reason:P1 cross 语义色规范且 deps=none 已满足 | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; E2E_BACKEND_URL=http://127.0.0.1:8001 E2E_FRONTEND_URL=http://127.0.0.1:5174; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 替换局部 hard-coded 色为语义色(text/bg/border)-(warning|danger|info)，新增 callout-* class
FEOA-C09,[P0][frontend][cross] WizardNextBar 固定底栏可能遮挡内容（需要全站策略）,WizardNextBar 固定底栏可能遮挡内容（需要全站策略）,建议： | 页面根容器统一预留 `pb-24`（或按实际 bar 高度计算）；或在 AppShell 根据 bar 可见性动态设置 main 的 padding-bottom。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/components/atelier/WizardNextBar.tsx | frontend/src/pages/OutlinePage.tsx | frontend/src/pages/CharactersPage.tsx | frontend/src/pages/PreviewPage.tsx | frontend/src/pages/ExportPage.tsx | frontend/src/pages/PromptsPage.tsx | frontend/src/pages/SettingsPage.tsx | frontend/src/pages/WritingPage.tsx,none,priority:P0 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:159 | evidence:frontend/src/pages/OutlinePage.tsx | frontend/src/pages/CharactersPage.tsx | frontend/src/pages/PreviewPage.tsx | frontend/src/pages/ExportPage.tsx | frontend/src/pages/PromptsPage.tsx | frontend/src/pages/SettingsPage.tsx | frontend/src/pages/WritingPage.tsx | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 仅增加底部安全间距避免遮挡
FEOA-C10,[P0][frontend][cross] A11y 基线问题：键盘可达性、表单 id、表格语义,A11y 基线问题：键盘可达性、表单 id、表格语义,建议： | 统一“可点击=可聚焦=可键盘触发”的规范。 | 所有输入控件必须具备稳定的 `id`（便于 label/aria/测试选择器）。,cd frontend; npm run lint | cd frontend; npm run build | cd test; npm test -- specs/ui/navigation.spec.ts,manual,DONE,DONE,DONE,frontend/src/components/chapterAnalysis/AnnotatedText.tsx | frontend/src/pages/WorldBookPage.tsx | frontend/src/pages/AdminUsersPage.tsx,none,priority:P0 | area:frontend-opt | scope:cross-cutting | audit:前端完全优化问题发现.md:167 | evidence:frontend/src/components/chapterAnalysis/AnnotatedText.tsx | evidence:frontend/src/pages/WorldBookPage.tsx | evidence:frontend/src/pages/AdminUsersPage.tsx | evidence:test:pass:cd frontend; npm run lint | evidence:test:pass:cd frontend; npm run build | evidence:test:pass:cd test; npm test -- specs/ui/navigation.spec.ts | done_at:2026-01-26 | risk:low 仅补齐可达性与表单/表格语义属性
