ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
OPA-001,"[P0][backend][phase:1] Agent framework base classes","Create multi-agent framework: config.py (AgentPipelineConfig with defaults 200K tokens/3600s timeout), models.py (ParseResult/AgentStepResult/ChunkInfo dataclasses), agents/base.py (BaseExtractionAgent with LLM call + JSON parse + retry logic), __init__.py (public API stubs)","config.py has AgentPipelineConfig with max_context_tokens=200000 and timeout_seconds=3600 | models.py has ParseResult with outline/characters/entries/agent_log fields | base.py has BaseExtractionAgent with run_on_chunks() method | __init__.py exports parse_outline and parse_outline_stream_events","python -m compileall backend/app/services/outline_parsing_agent/",none,TODO,TODO,TODO,"backend/app/services/outline_parsing_agent/__init__.py | backend/app/services/outline_parsing_agent/config.py | backend/app/services/outline_parsing_agent/models.py | backend/app/services/outline_parsing_agent/agents/__init__.py | backend/app/services/outline_parsing_agent/agents/base.py",none,"Extends existing app.llm.agent Protocol pattern. BaseExtractionAgent should accept LLMStrategy + system_prompt + user_template and handle chunked input."
OPA-002,"[P0][backend][phase:1] Text chunking utility","Create chunker.py: TextChunker class that splits long text into overlapping chunks. Token-aware splitting using tiktoken or simple char-based estimation (1 token ≈ 1.5 chars for CJK). Configurable chunk_size_tokens and overlap_tokens. Returns list of ChunkInfo with text/start_offset/end_offset/chunk_index.","TextChunker.chunk(text, max_tokens=50000, overlap_tokens=2000) returns list[ChunkInfo] | Single short text returns single chunk | Long text splits at paragraph/sentence boundaries | Overlap ensures context continuity","python -m compileall backend/app/services/outline_parsing_agent/chunker.py",none,TODO,TODO,TODO,backend/app/services/outline_parsing_agent/chunker.py,OPA-001,"Use simple char estimation for CJK (1 token ≈ 1.5 chars). Split at paragraph breaks (double newline) first, then sentence breaks. No external dependency needed."
OPA-003,"[P0][backend][phase:2] Agent orchestrator (coordinator)","Create coordinator.py: OutlineParsingOrchestrator that manages the full pipeline. Phase 1: run AnalysisAgent. Phase 2: run Structure/Character/Entry agents in parallel (asyncio.gather or sequential fallback). Phase 3: run ValidationAgent. Track per-agent timing/token usage. Support progress callbacks for SSE.","Orchestrator.run(text, config) returns ParseResult | Parallel extraction runs 3 agents concurrently | Each agent step logged in agent_log | Total duration and tokens tracked | Progress callback called per phase","python -m compileall backend/app/services/outline_parsing_agent/coordinator.py",none,TODO,TODO,TODO,backend/app/services/outline_parsing_agent/coordinator.py,OPA-001 | OPA-002,"Use existing LLM strategy from llm_task_preset_resolver. Resolve outline_parse task key or fallback to project default. asyncio.gather for parallel execution."
OPA-004,"[P0][backend][phase:2] Structure extraction agent + prompts","Create structure_agent.py: StructureExtractionAgent extends BaseExtractionAgent. Extracts outline_md (story arc summary) and chapters[{number, title, beats[]}]. Handles multi-chunk input by accumulating chapters across chunks. Create prompts/structure_system.md and prompts/structure_user.md.","Agent extracts chapters with number/title/beats from input | Handles multi-chunk: accumulates chapters, deduplicates by number | Output matches existing outline contract: {outline_md: string, chapters: [{number, title, beats[]}]} | System prompt defines role and output JSON schema | User template has {{chunk_text}} and {{chunk_info}} placeholders","python -m compileall backend/app/services/outline_parsing_agent/agents/structure_agent.py",none,TODO,TODO,TODO,"backend/app/services/outline_parsing_agent/agents/structure_agent.py | backend/app/services/outline_parsing_agent/prompts/structure_system.md | backend/app/services/outline_parsing_agent/prompts/structure_user.md",OPA-001 | OPA-002,"Output contract MUST match existing: {outline_md: str, chapters: [{number: int, title: str, beats: [str]}]}. This is critical for compatibility."
OPA-005,"[P0][backend][phase:2] Character extraction agent + prompts","Create character_agent.py: CharacterExtractionAgent extends BaseExtractionAgent. Extracts character cards [{name, role, profile, notes}] from input. Deduplicates characters across chunks by name. Create prompts/character_system.md and prompts/character_user.md.","Agent extracts characters with name/role/profile/notes | Handles multi-chunk: deduplicates by name, merges profile info | Output matches CharacterCreate schema: [{name: str, role: str|null, profile: str|null, notes: str|null}] | System prompt defines extraction rules | User template has {{chunk_text}} placeholder","python -m compileall backend/app/services/outline_parsing_agent/agents/character_agent.py",none,TODO,TODO,TODO,"backend/app/services/outline_parsing_agent/agents/character_agent.py | backend/app/services/outline_parsing_agent/prompts/character_system.md | backend/app/services/outline_parsing_agent/prompts/character_user.md",OPA-001 | OPA-002,"Output must match existing CharacterCreate: name (required 1-255), role (optional 255), profile (optional 40000), notes (optional 40000)"
OPA-006,"[P0][backend][phase:2] Entry extraction agent + prompts","Create entry_agent.py: EntryExtractionAgent extends BaseExtractionAgent. Extracts worldbuilding entries [{title, content, tags[]}] from input. Categories: 设定/伏笔/情节/世界观/魔法体系 etc. Deduplicates across chunks by title. Create prompts/entry_system.md and prompts/entry_user.md.","Agent extracts entries with title/content/tags | Handles multi-chunk: deduplicates by title, merges content | Output matches EntryCreate schema: [{title: str, content: str, tags: [str]}] | Tags from DEFAULT_ENTRY_TAGS plus custom | System prompt defines extraction scope","python -m compileall backend/app/services/outline_parsing_agent/agents/entry_agent.py",none,TODO,TODO,TODO,"backend/app/services/outline_parsing_agent/agents/entry_agent.py | backend/app/services/outline_parsing_agent/prompts/entry_system.md | backend/app/services/outline_parsing_agent/prompts/entry_user.md",OPA-001 | OPA-002,"Output must match EntryCreate: title (1-255), content (max 40000), tags (max 80 items, each max 64 chars). Default tags: 设定/伏笔/情节"
OPA-007,"[P0][backend][phase:2] Analysis + validation agents + prompts","Create analysis_agent.py: AnalysisAgent analyzes input format/structure and returns extraction plan. Create validation_agent.py: ValidationAgent merges results from all extractors, validates chapter continuity, cross-references characters in outline vs extracted, ensures completeness. Create 4 prompt files.","AnalysisAgent returns content_types/structure_hints/recommended_strategy | ValidationAgent merges structure+characters+entries into ParseResult | Chapter numbers validated for continuity | Duplicate characters/entries removed | Missing chapters flagged in warnings","python -m compileall backend/app/services/outline_parsing_agent/agents/",none,TODO,TODO,TODO,"backend/app/services/outline_parsing_agent/agents/analysis_agent.py | backend/app/services/outline_parsing_agent/agents/validation_agent.py | backend/app/services/outline_parsing_agent/prompts/analysis_system.md | backend/app/services/outline_parsing_agent/prompts/analysis_user.md | backend/app/services/outline_parsing_agent/prompts/validation_system.md | backend/app/services/outline_parsing_agent/prompts/validation_user.md",OPA-001 | OPA-002,"AnalysisAgent is lightweight — single LLM call. ValidationAgent may call LLM for gap-filling but primarily does programmatic merging."
OPA-008,"[P0][backend][phase:3] API route + schemas + router registration","Create outline_parse.py route: POST /projects/{project_id}/outline/parse (sync) and POST /projects/{project_id}/outline/parse-stream (SSE). Create outline_parse.py schema: OutlineParseRequest (content/file_content/file_name/agent_config), OutlineParseResult (outline/characters/entries/agent_log). Register route in app router.","POST /parse accepts text content or base64 file | POST /parse-stream returns SSE events with agent progress | Schemas validate input limits (content max 4M chars) | Route registered and accessible | Uses existing auth (DbDep/UserIdDep) | Resolves LLM config via task preset resolver","python -m compileall backend/app/api/routes/outline_parse.py && python -m compileall backend/app/schemas/outline_parse.py",none,TODO,TODO,TODO,"backend/app/api/routes/outline_parse.py | backend/app/schemas/outline_parse.py | backend/app/api/router.py",OPA-003 | OPA-004 | OPA-005 | OPA-006 | OPA-007,"Register new router in backend/app/api/router.py. SSE uses existing create_sse_response utility. LLM task key: outline_parse (add to task catalog)."
OPA-009,"[P0][frontend][phase:4] Parsing UI components","Create OutlineParsingSection.tsx: modal with text input (textarea), file upload dropzone (.txt/.md), advanced config panel (context_tokens/timeout), progress display (per-agent status with icons), result preview tabs (outline/characters/entries). Create outlineParsingModels.ts (types) and outlineParsingCopy.ts (UI text constants).","Modal opens from '智能解析 (Beta)' button | Textarea for text input (no char limit in UI) | File upload accepts .txt and .md only | Advanced config collapsed by default (200K tokens / 3600s) | Progress shows 5 agent phases with status icons (pending/running/done/error) | Result tabs show parsed outline (chapter count), characters (list), entries (list) | Apply buttons: 保存大纲 / 创建角色卡 / 创建条目 / 全部应用","Frontend compiles: npx vite build",none,TODO,TODO,TODO,"frontend/src/pages/outline/OutlineParsingSection.tsx | frontend/src/pages/outline/outlineParsingModels.ts | frontend/src/pages/outline/outlineParsingCopy.ts",none,"Follow existing UI patterns: panel, btn btn-primary/secondary, text-xs text-subtext, Modal component. Use Tailwind CSS classes consistent with project."
OPA-010,"[P0][frontend][phase:4] Parsing state + page integration","Create useOutlineParsingState.ts: state hook managing parsing lifecycle (input, parsing, results, apply). Modify OutlinePageSections.tsx: add '智能解析 (Beta)' button to OutlineActionsBar. Modify useOutlinePageState.ts: wire parsing state into page props. Connect to SSE API for streaming progress. Implement result application (save outline, create characters, create entries via existing APIs).","Button '智能解析 (Beta)' appears in OutlineActionsBar | Clicking opens parsing modal | SSE connection established on parse start | Progress updates display in real-time | Parse results populate preview | 'Save Outline' calls PUT /outline API | 'Create Characters' calls POST /characters API | 'Create Entries' calls POST /entries API | '全部应用' does all three","Frontend compiles: npx vite build",none,TODO,TODO,TODO,"frontend/src/pages/outline/useOutlineParsingState.ts | frontend/src/pages/outline/OutlinePageSections.tsx | frontend/src/pages/outline/useOutlinePageState.ts",OPA-009,"Reuse existing SSEPostClient for streaming. Use existing apiJson for result application. Follow patterns from useOutlineGenerationState.ts."
