ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
PS-001,[P0][backend][phase:1] 优化大纲生成默认提示词,"基于参考提示词(提示词学习参考/)优化 outline_generate_v3 的 sys.outline.role 模板. 融入: 反AI味+展示不讲述+冲突驱动+人设防崩+钩子设计+语言去油. 保持 JSON 输出契约不变.","sys.outline.role.md 内容更新 | 包含反AI味规则 | 包含五感代入 | 包含冲突驱动 | JSON 契约 block 不变","manual: 对比新旧模板内容 | npm run build 无报错",manual,TODO,TODO,TODO,"backend/app/resources/prompt_presets/outline_generate_v3/templates/sys.outline.role.md",none,"priority:P0 | area:backend | phase:1 | refs:提示词学习参考/"
PS-002,[P0][backend][phase:1] 优化章节生成默认提示词,"优化 chapter_generate_v4 的 sys.chapter.core_role.md 和 sys.chapter.plot_tools.md. 融入参考提示词精华: 五感代入+Scene/Sequel增强+反AI味规则+钩子设计+节奏控制.","core_role 包含五感代入规则 | plot_tools 包含钩子设计 | 保留输出契约 <<<CONTENT>>><<<SUMMARY>>> 不变","manual: 对比新旧模板内容 | npm run build 无报错",manual,TODO,TODO,TODO,"backend/app/resources/prompt_presets/chapter_generate_v4/templates/sys.chapter.core_role.md | backend/app/resources/prompt_presets/chapter_generate_v4/templates/sys.chapter.plot_tools.md",none,"priority:P0 | area:backend | phase:1"
PS-003,[P0][backend][phase:1] 优化章节分析默认提示词,"优化 plan_chapter_v1 的 sys.plan_chapter.role.md. 增强章节规划指导: 冲突设计+钩子布局+人设一致性检查+信息推进. 保持 <plan> 标签输出格式不变.","sys.plan_chapter.role.md 包含冲突设计指导 | 包含钩子布局 | <plan> 输出格式不变","manual: 对比新旧模板内容",manual,TODO,TODO,TODO,"backend/app/resources/prompt_presets/plan_chapter_v1/templates/sys.plan_chapter.role.md",none,"priority:P0 | area:backend | phase:1"
PS-004,[P0][backend][phase:1] 优化章节重写默认提示词,"优化 post_edit_v1 的 sys.post_edit.role.md 和 sys.post_edit.sanitize.md. 增强润色指导: 去AI味+句式多样化+感官细节+词汇控制. 保持 <rewrite> 标签输出格式不变.","post_edit.role 包含去AI味规则 | sanitize 包含句式多样化 | <rewrite> 输出格式不变","manual: 对比新旧模板内容",manual,TODO,TODO,TODO,"backend/app/resources/prompt_presets/post_edit_v1/templates/sys.post_edit.role.md | backend/app/resources/prompt_presets/post_edit_v1/templates/sys.post_edit.sanitize.md",none,"priority:P0 | area:backend | phase:1"
PS-005,[P0][backend][phase:1] 优化内容优化默认提示词,"优化 content_optimize_v1 的 sys.content_optimize.role.md. 增强优化指导: 语言精炼+反流水账+细节填充+节奏控制. 保持 <content> 标签输出格式不变.","content_optimize.role 包含反流水账规则 | 包含细节填充 | <content> 输出格式不变","manual: 对比新旧模板内容",manual,TODO,TODO,TODO,"backend/app/resources/prompt_presets/content_optimize_v1/templates/sys.content_optimize.role.md",none,"priority:P0 | area:backend | phase:1"
PS-006,[P0][backend][phase:2] 新增 prompt_studio 路由与 facade 服务,"创建 backend/app/api/routes/prompt_studio.py 和 backend/app/services/prompt_studio_service.py. 实现6个简化API端点: list_categories / get_preset / create_preset / update_preset / delete_preset / activate_preset. content 映射到指定 guidance block.","6个API端点可调用 | GET categories 返回5个分类 | POST/PUT 正确映射 content 到 block","manual: curl 测试每个端点",manual,TODO,TODO,TODO,"backend/app/api/routes/prompt_studio.py | backend/app/services/prompt_studio_service.py | backend/app/api/router.py",PS-001|PS-002|PS-003|PS-004|PS-005,"priority:P0 | area:backend | phase:2"
PS-007,[P0][backend][phase:2] prompt_studio 服务: 写作风格集成,"在 prompt_studio_service 中集成 WritingStyle CRUD 操作. 写作风格分类使用 WritingStyle 模型而非 PromptPreset. 统一 API 接口格式.","GET categories 包含写作风格分类 | CRUD 操作对 WritingStyle 正常工作 | 接口格式与其他4个分类一致","manual: curl 测试写作风格相关端点",manual,TODO,TODO,TODO,"backend/app/services/prompt_studio_service.py | backend/app/models/writing_style.py | backend/app/models/project_default_style.py",PS-006,"priority:P0 | area:backend | phase:2"
PS-008,[P0][backend][phase:2] prompt_studio schemas 与路由注册,"创建 backend/app/schemas/prompt_studio.py 定义简化的请求/响应 schema. 在 router.py 中注册新路由.","schema 定义完整 | 路由注册成功 | OpenAPI 文档可见新端点","manual: 访问 /docs 验证新端点",manual,TODO,TODO,TODO,"backend/app/schemas/prompt_studio.py | backend/app/api/router.py",PS-006|PS-007,"priority:P0 | area:backend | phase:2"
PS-009,[P0][frontend][phase:3] 新建 PromptStudio 类型定义与 hook,"创建 pages/promptStudio/types.ts (Category/SimplePreset 类型) 和 pages/promptStudio/usePromptStudio.ts (状态管理hook: 分类选择/preset列表/CRUD操作).","types.ts 导出 Category/SimplePreset 类型 | hook 封装所有 API 调用 | 状态管理正确","npm run build 无类型错误",manual,TODO,TODO,TODO,"frontend/src/pages/promptStudio/types.ts | frontend/src/pages/promptStudio/usePromptStudio.ts",PS-006|PS-007|PS-008,"priority:P0 | area:frontend | phase:3"
PS-010,[P0][frontend][phase:3] 新建左侧分类列表组件,"创建 CategoryListPanel.tsx. 显示5个固定分类(大纲生成/章节生成/章节分析/章节重写/写作风格). 点击切换高亮.","5个分类可见 | 点击切换高亮 | 传递选中分类到父组件","npm run build 通过 | 浏览器手动验证",manual,TODO,TODO,TODO,"frontend/src/pages/promptStudio/CategoryListPanel.tsx",PS-009,"priority:P0 | area:frontend | phase:3"
PS-011,[P0][frontend][phase:3] 新建右侧预设编辑器组件,"创建 PresetEditorPanel.tsx. 包含: 下拉选择preset / 新建按钮 / 删除按钮 / 名称输入框 / 内容编辑区(textarea) / 保存按钮 / 使用此预设按钮.","下拉列表显示当前分类的所有preset | 可编辑名称和内容 | 保存和使用按钮可点击","npm run build 通过 | 浏览器手动验证",manual,TODO,TODO,TODO,"frontend/src/pages/promptStudio/PresetEditorPanel.tsx",PS-009|PS-010,"priority:P0 | area:frontend | phase:3"
PS-012,[P0][frontend][phase:3] 重写 PromptStudioPage 主页面,"重写 pages/PromptStudioPage.tsx 使用新的左右布局. 左侧 CategoryListPanel + 右侧 PresetEditorPanel. 使用 usePromptStudio hook 管理状态.","页面正常渲染 | 左右布局正确 | 分类切换联动右侧内容","npm run build 通过 | 浏览器手动验证",manual,TODO,TODO,TODO,"frontend/src/pages/PromptStudioPage.tsx",PS-010|PS-011,"priority:P0 | area:frontend | phase:3"
PS-013,[P1][frontend][phase:4] 路由与导航更新,"移除 StylesPage 的独立路由和导航入口. 更新 appShellNavConfig 移除 styles 导航项. 确保 PromptStudio 入口正常.","styles 路由不再可访问 | 导航栏无 styles 入口 | PromptStudio 入口正常","npm run build 通过 | 浏览器导航验证",manual,TODO,TODO,TODO,"frontend/src/App.tsx | frontend/src/components/layout/appShellNavConfig.tsx | frontend/src/lib/routes.ts",PS-012,"priority:P1 | area:frontend | phase:4"
PS-014,[P1][frontend][phase:4] 清理旧文件,"删除不再使用的旧 PromptStudio 组件: PromptStudioPresetListPanel.tsx / PromptStudioPresetEditorPanel.tsx / PromptStudioPreviewPanel.tsx / 旧 utils.ts. 删除 StylesPage.tsx.","旧文件已删除 | 无残留 import 引用 | npm run build 通过","npm run build 通过",manual,TODO,TODO,TODO,"frontend/src/pages/promptStudio/PromptStudioPresetListPanel.tsx | frontend/src/pages/promptStudio/PromptStudioPresetEditorPanel.tsx | frontend/src/pages/promptStudio/PromptStudioPreviewPanel.tsx | frontend/src/pages/StylesPage.tsx",PS-013,"priority:P1 | area:frontend | phase:4"
PS-015,[P1][integration][phase:5] 端到端集成验证,"验证完整流程: PromptStudio选择preset → 写作页面触发生成 → 后端正确组装提示词 → LLM请求包含正确的软提示词内容. 验证所有5个分类.","5个分类的preset可创建/编辑/保存/选择 | 写作页面使用选中preset生成正确 | 写作风格正确注入","manual: 浏览器完整流程测试",manual,TODO,TODO,TODO,"frontend/src/pages/promptStudio/ | backend/app/services/prompt_studio_service.py | backend/app/services/prompt_presets.py",PS-012|PS-013|PS-014,"priority:P1 | area:integration | phase:5"
