ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
MOB-001,Global mobile CSS utilities,"Add mobile-specific CSS utilities to index.css: touch target min-height 44px | hide scrollbars on mobile | safe-area utility","index.css contains new mobile utilities | btn has min-h-[44px] on touch devices | scrollbar hidden on <640px",manual,codex,DONE,DONE,TODO,frontend/src/index.css,none,"Phase 1 | done_at:2026-03-28"
MOB-002,AppShell header mobile compact,"Compact header padding py-3 | text-lg title | 2-char user badge | ThemeToggle hidden from header","Header compact on <640px | user badge shows abbreviation | ThemeToggle in drawer only",manual,codex,DONE,DONE,TODO,frontend/src/components/layout/AppShell.tsx,MOB-001,"Phase 1 | done_at:2026-03-28"
MOB-003,ToastProvider responsive width,"Full-width centered toasts on mobile | 360px bottom-right on desktop","Toasts full-width on mobile | 360px on desktop | no overflow",manual,codex,DONE,DONE,TODO,frontend/src/components/ui/ToastProvider.tsx,none,"Phase 1 | done_at:2026-03-28"
MOB-004,Modal mobile full-screen,"Full-screen modals on mobile | mobile close button | rounded on desktop","Modals full-screen <640px | close button sm:hidden | scroll works",manual,codex,DONE,DONE,TODO,frontend/src/components/ui/Modal.tsx,none,"Phase 2 | done_at:2026-03-28"
MOB-005,Drawer mobile bottom sheet enhancement,"Drag handle on bottom drawers | rounded-t-atelier | max-h-[85dvh]","Bottom drawers have handle | rounded top | constrained height",manual,codex,DONE,DONE,TODO,frontend/src/components/ui/Drawer.tsx,none,"Phase 2 | done_at:2026-03-28"
MOB-006,MarkdownEditor mobile viewport height,"min-h-[35dvh] on mobile | sm:min-h-0 on desktop","Editor has adequate mobile height | desktop unchanged",manual,codex,DONE,DONE,TODO,frontend/src/components/atelier/MarkdownEditor.tsx,none,"Phase 2 | done_at:2026-03-28"
MOB-007,ChapterListPanel mobile redesign,"Responsive height calc(100dvh-180px) | min-h-[280px] | compact padding","Panel fits mobile viewport | min-height works",manual,codex,DONE,DONE,TODO,frontend/src/components/writing/ChapterListPanel.tsx,none,"Phase 3 | done_at:2026-03-28"
MOB-008,WritingPage mobile layout overhaul,"Editor p-3 | text-lg heading | gap-1.5 | bottom drawer for chapters","Editor compact on mobile | chapter drawer from bottom",manual,codex,DONE,DONE,TODO,frontend/src/pages/writing/WritingPageSections.tsx,MOB-005 | MOB-007,"Phase 3 | done_at:2026-03-28"
MOB-009,BatchGenerationModal mobile full-screen,"w-full sm:max-w-3xl | p-3 sm:p-5","Modal full-screen on mobile | padding responsive",manual,codex,DONE,DONE,TODO,frontend/src/components/writing/BatchGenerationModal.tsx,MOB-004,"Phase 3 | done_at:2026-03-28"
MOB-010,CreateChapterDialog mobile optimization,"w-full sm:max-w-lg | p-3 sm:p-5","Dialog full-screen on mobile | padding responsive",manual,codex,DONE,DONE,TODO,frontend/src/components/writing/CreateChapterDialog.tsx,MOB-004,"Phase 3 | done_at:2026-03-28"
