ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
MVP-001,[P0][audit][tasks] 固化真实失败样本为回归夹具,从当前 `backend/ainovel.db` 提取真实 LLM 失败输出与 run_id 作为回归夹具用于 parser/repair 测试（脱敏且避免写入任何 key）,新增 fixtures + 单测覆盖这些样本并在修复后可通过,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/ainovel.db | backend/tests,none,"priority:P0 | area:backend | refs:plan/2026-02-03_20-11-11-full-system-audit.md | sample_run_ids:b497cd7a|d8024a18|ea1ca685|938e0135|7d9b53d8"
MVP-002,[P0][backend][tasks] /api/health 暴露 effective queue backend（含 inline fallback）,修正 health 的队列状态口径：当 TASK_QUEUE_BACKEND=rq 且 redis 不可用时应明确标注 effective_backend=inline 与其并发/排队特性,health 返回 queue_backend 与 effective_backend 且不泄露 redis_url 凭据,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/task_queue.py | backend/app/api/routes/health.py | backend/tests,none,"priority:P0 | area:backend | evidence:当前 redis_ok=false 但任务实际走 inline 单线程导致排队"
MVP-003,[P0][frontend][tasks] TaskCenter 展示 effective queue backend 与排队提示,TaskCenter 顶部展示 /api/health 返回的 effective_backend 并在 inline 单线程时提示为何会排队以及如何切换 rq+worker,UI 明确提示并可复制 request_id 且不影响现有布局,cd test; $env:E2E_BACKEND_URL="http://127.0.0.1:32568"; $env:E2E_FRONTEND_URL="http://127.0.0.1:32569"; npm test -- specs/ui/taskcenter-projecttasks.spec.ts,none,DONE,DONE,DONE,frontend/src/pages/TaskCenterPage.tsx,none,priority:P0 | area:frontend | refs:frontend/src/pages/TaskCenterPage.tsx
MVP-004,[P0][backend][tasks] inline worker 暴露队列长度与 last_processed_at,为 inline worker 增加轻量可观测指标（queue length 与 last processed timestamp）用于诊断排队与卡死,health 或新接口能返回这些指标且不引入线程安全问题,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/task_queue.py | backend/app/api/routes/health.py,none,priority:P0 | area:backend | risk:thread_safety
MVP-005,[P0][backend][tasks] ProjectTask 支持 cancel（queued 状态可取消）,新增取消接口与 DB 状态字段或约定使 queued 任务可取消并在 worker 侧跳过执行,queued 的任务取消后不会被执行且 TaskCenter 可见取消结果,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/api/routes/tasks.py | backend/app/services/project_task_service.py | backend/app/models/project_task.py,none,priority:P0 | area:backend | scope:project_tasks_cancel
MVP-006,[P0][frontend][tasks] TaskCenter 增加取消按钮（仅 queued 可见）,TaskCenter 对 queued 的 ProjectTask 增加取消操作并刷新列表与详情,取消按钮具备确认弹窗并在成功后更新状态,cd test; $env:E2E_BACKEND_URL="http://127.0.0.1:32568"; $env:E2E_FRONTEND_URL="http://127.0.0.1:32569"; npm test -- specs/ui/taskcenter-projecttasks.spec.ts,none,DONE,DONE,DONE,frontend/src/pages/TaskCenterPage.tsx,MVP-005,"priority:P0 | area:frontend | deps:MVP-005"
MVP-007,[P0][backend][tasks] project tasks 去重与合并策略（减少任务风暴）,为 chapter_done 自动任务增加去重与合并策略以减少排队量（例如同类任务只保留最新 token 或合并为 bundle）,同一章节多次触发不会产生线性增长的 queued 任务且不丢功能,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/project_task_service.py | backend/app/services/task_queue.py,none,priority:P0 | area:backend | risk:correctness
MVP-008,[P0][design][tasks] SQLite 下并发策略设计文档（LLM 并行 DB 串行）,输出设计文档明确：允许并行的阶段与必须串行的阶段以及锁粒度与失败恢复策略,文档落库并被后续实现 Issue 引用,manual: 输出 docs 设计文档并评审后进入实现,manual,DONE,TODO,DONE,docs | plan,none,priority:P0 | area:design | refs:AGENTS.md SQLite 单 worker | doc:docs/design/sqlite-concurrency.md | review:pending
MVP-009,[P0][backend][tasks] inline worker 支持有限并发（按设计实现）,按 MVP-008 方案实现 inline worker 有限并发并确保 DB apply 阶段串行或可重试避免 locked,在真实 LLM 场景下排队时间显著下降且不出现 DB locked 雪崩,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/task_queue.py | backend/app/services/project_task_service.py,MVP-008,"priority:P0 | area:backend | deps:MVP-008 | target:reduce_queue_wait"
MVP-010,[P0][backend][tasks] graph_auto_update 失败写入结构化 error.details,将 graph_auto_update 失败从 RuntimeError 升级为 AppError 并填充 details（reason run_id parse_error warnings how_to_fix）,TaskCenter Error 面板能展示 how_to_fix 且错误可定位到 run_id,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/project_task_service.py | backend/app/services/graph_auto_update_service.py,none,"priority:P0 | area:backend | evidence:project_tasks graph_auto_update failed parse_failed run_id=ea1ca685"
MVP-011,[P0][backend][tasks] table_ai_update 失败写入结构化 error.details 并包含 run_id,将 table_ai_update 失败从 RuntimeError 升级为 AppError 并填充 details 且 llm_call_failed 也能拿到 run_id,TaskCenter Error 面板可直接跳转 generation_runs 定位 timeout 或上游错误,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/project_task_service.py | backend/app/services/table_ai_update_service.py,none,"priority:P0 | area:backend | evidence:generation_runs LLM_TIMEOUT id=938e0135|7d9b53d8"
MVP-012,[P0][backend][llm] call_llm_and_record 失败时返回可追踪 run_id,为 LLM 调用封装提供失败场景 run_id 回传机制（例如在异常 details 中附带 run_id）以便上层任务记录,任何 llm_call_failed 都能在任务结果里看到 run_id,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/generation_service.py | backend/app/services/table_ai_update_service.py,MVP-011,"priority:P0 | area:backend | deps:MVP-011"
MVP-013,[P0][backend][contracts] memory_update_json parse_error 补齐 validation details,提升 memory_update_json 合同解析：当 op schema invalid 时返回具体字段错误与 op index 以便修复 prompt,parse_error 包含 idx 与 pydantic errors 且不泄露敏感信息,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/output_contracts.py | backend/app/schemas/memory_update.py,none,priority:P0 | area:backend | scope:observability
MVP-014,[P0][backend][contracts] worldbook_auto_update_json parse_error 补齐 validation details,提升 worldbook_auto_update_json 合同解析：当 ops[i] schema invalid 时输出更可用的错误细节以便定位字段名错配,parse_error 包含 idx 与 pydantic errors 且 TaskCenter 可显示,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/output_contracts.py | backend/app/schemas/worldbook_auto_update.py,none,priority:P0 | area:backend | scope:observability
MVP-015,[P0][backend][llm] 新增通用 JSON repair helper（单次修复）,抽象通用 repair 流程：输入 raw_output 与期望 schema 描述并再次调用 LLM 产出可解析 JSON 并记录 run,提供可复用 API 且不会无限重试且记录 repair_run_id,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services | backend/app/models/generation_run.py,none,priority:P0 | area:backend | scope:repair_pipeline
MVP-016,[P0][backend][characters] characters_auto_update 接入 JSON repair 兜底,当 characters_auto_update parse_error 时触发一次 JSON repair 并再次解析与应用,真实 LLM 输出不稳定时任务仍可成功或给出可理解错误,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/characters_auto_update_service.py,MVP-015,"priority:P0 | area:backend | deps:MVP-015"
MVP-017,[P0][backend][worldbook] worldbook_auto_update 接入 JSON repair 兜底,当 worldbook_auto_update parse_error 时触发一次 JSON repair 并再次解析与 apply,真实 LLM 输出字段名漂移时仍能稳定落库,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/worldbook_auto_update_service.py | backend/app/services/output_contracts.py,MVP-015,"priority:P0 | area:backend | deps:MVP-015"
MVP-018,[P0][backend][graph] graph_auto_update 接入 JSON repair 兜底,当 graph_auto_update memory_update_json parse_failed 时触发一次 JSON repair 并再次解析,真实 LLM 输出字段名漂移时仍能稳定产出 change_set,cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p "test_*.py" -v,none,DONE,DONE,DONE,backend/app/services/graph_auto_update_service.py | backend/app/services/output_contracts.py,MVP-015,"priority:P0 | area:backend | deps:MVP-015"
