ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
OPTI-001,[P0][backend][phase:0.1] ProjectSettings 增加 query_preprocessing 配置字段,现状：memory_query_text 直接用于 worldbook story_memory vector_rag graph fractal 检索且缺统一 query 预处理开关与规则持久化。目标：在 ProjectSettings 增加 query_preprocessing 配置字段并默认关闭保持现有行为。,Alembic 迁移完成且可回滚；ProjectSettings 默认值不改变现有生成与预览；字段可被读写且为空时按关闭处理,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/models/project_settings.py | backend/alembic | backend/app/schemas/settings.py | test/contracts/db_schema.json | test/scripts/snapshot-db.ps1,none,priority:P0 | area:QueryPreprocess | phase:0.1 | source_refs:DOC-1.2-03;DOC-2.1-01;DOC-2.1-02;DOC-2.5-01;DOC-3-P0-01 | refs:学习两个项目的可以优化的地方.md | started_at:2026-01-15 | refs:backend/app/models/project_settings.py:1;backend/app/schemas/settings.py:1 | scope:db_schema_snapshot | done_at:2026-01-15 | evidence:pwsh test/run-all.ps1 (All checks passed); pwsh test/scripts/snapshot-db.ps1 (Updated test/contracts/db_schema.json)
OPTI-002,[P0][backend][phase:0.1] settings API 支持 query_preprocessing 读写,现状：/api/projects/{id}/settings 仅支持向量 embedding 覆盖配置且无 query_preprocessing 输出与更新。目标：扩展 settings schema 与 routes 返回与更新 query_preprocessing 配置并保持向后兼容。,GET settings 返回 query_preprocessing 当前值与默认值；PUT settings 可更新并做基本校验；未提供字段时保持不变；不影响现有 vector_embedding 配置,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/routes/settings.py | backend/app/schemas/settings.py,OPTI-001,priority:P0 | area:QueryPreprocess | phase:0.1 | source_refs:DOC-1.2-03;DOC-2.1-01;DOC-2.5-01;DOC-3-P0-01 | started_at:2026-01-15 | refs:backend/app/api/routes/settings.py:1;backend/app/schemas/settings.py:1 | done_at:2026-01-15 | evidence:pwsh test/run-all.ps1 (All checks passed)
OPTI-003,[P0][backend][phase:0.1] 实现统一 query 预处理服务 normalize_query_text,现状：demo 缺可复用的 query 预处理层。目标：新增服务对 query_text 做可选处理并输出结构化 obs 供日志与 UI 展示，能力包含 tag 提取 内容排除规则 索引引用增强 基础清洗。,提供 normalize_query_text 输入输出与 obs 结构；开关关闭时完全透传；支持配置 tags exclusion_rules index_ref_enhance；对空输入有确定性输出,"cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/services/memory_query_service.py | backend/app/services | backend/tests/test_memory_query_service.py,OPTI-001,"priority:P0 | area:QueryPreprocess | phase:0.1 | source_refs:DOC-1.2-03;DOC-2.1-01;DOC-3-P0-01 | refs:Amily/ST-Amily2-Chat-Optimisation/core/rag-processor.js:1451 | started_at:2026-01-15 | refs:backend/app/services:1;backend/app/schemas/settings.py:1 | done_at:2026-01-15 | evidence:cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v (OK)"
OPTI-004,[P0][backend][phase:0.1] 生成链路接入 query 预处理并回放 raw 与 normalized,现状：chapters 生成时 memory_query_text 直接传给 retrieve_memory_context_pack 且 run params 仅记录 query_text。目标：在章节 generate 与 generate-stream 两条链路接入 normalize_query_text 并记录 raw_query_text normalized_query_text preprocess_obs 便于回放对比。,chapter generate 与 stream 两条链路均使用同一 normalize；run params 记录 raw normalized 与 obs 且脱敏；关闭预处理开关时行为与日志保持兼容,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/routes/chapters.py | backend/app/services/memory_retrieval_service.py | backend/app/services/memory_query_service.py,OPTI-003,priority:P0 | area:QueryPreprocess | phase:0.1 | source_refs:DOC-2.1-01;DOC-2.1-02;DOC-3-P0-01 | started_at:2026-01-15 | refs:backend/app/api/routes/chapters.py:494;backend/app/services/memory_retrieval_service.py:458;backend/app/services/memory_query_service.py:1 | done_at:2026-01-15 | evidence:pwsh test/run-all.ps1 (All checks passed)
OPTI-005,[P0][backend][phase:0.1] Vector Query Graph Query WorldBook preview 统一使用预处理,现状：/vector/query /graph/query worldbook preview 各自直接使用 query_text 且可能与生成链路不一致。目标：这些调试与预览端点复用同一 normalize_query_text 并返回 raw 与 normalized 与 obs 以便 UI 展示。,vector query graph query worldbook preview 均可选启用预处理；响应包含 raw normalized 与 obs；关闭时保持原响应结构兼容,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/api/routes/vector.py | backend/app/api/routes/graph.py | backend/app/api/routes/worldbook.py | backend/app/services/memory_query_service.py,OPTI-003,priority:P0 | area:QueryPreprocess | phase:0.1 | source_refs:DOC-2.5-01;DOC-3-P0-01 | started_at:2026-01-15 | refs:backend/app/api/routes/vector.py:1;backend/app/api/routes/graph.py:1;backend/app/api/routes/worldbook.py:1;backend/app/services/memory_query_service.py:1 | done_at:2026-01-15 | evidence:pwsh test/run-all.ps1 (All checks passed)
OPTI-006,[P0][frontend][phase:0.1] SettingsPage 增加 query_preprocessing 配置 UI,现状：前端无法配置 query_preprocessing 且难以直观看到 normalized query。目标：在 SettingsPage 增加开关 tags exclusion_rules 编辑并展示当前 effective normalized query 示例，降低预览与生成不一致风险。,SettingsPage 可编辑并保存 query_preprocessing 配置；保存后刷新一致；有基础输入校验与提示；不影响现有 vector_embedding 配置表单,cd test; npx playwright test specs/ui/settings-query-preprocess.spec.ts,none,DONE,DONE,DONE,frontend/src/pages/SettingsPage.tsx | frontend/src/services/apiClient.ts | frontend/src/types.ts | frontend/src/components/writing/ContextPreviewDrawer.tsx | test/specs/ui/settings-query-preprocess.spec.ts,OPTI-002,priority:P0 | area:QueryPreprocess | phase:0.1 | source_refs:DOC-1.2-03;DOC-3-P0-01 | started_at:2026-01-15 | refs:frontend/src/pages/SettingsPage.tsx:1;frontend/src/components/writing/ContextPreviewDrawer.tsx:1 | scope:add_e2e_spec | done_at:2026-01-15 | evidence:cd test; npx playwright test specs/ui/settings-query-preprocess.spec.ts (1 passed)
OPTI-007,[P0][backend][phase:0.2] 新增 memory preview API 支持 modules 与预算覆盖,现状：GET /memory/retrieve 仅支持 query_text include_deleted 且无法携带 memory_modules 与预算参数导致 ContextPreview 与实际注入不一致。目标：新增 POST /projects/{id}/memory/preview 接口接收 query_text section_enabled budget_overrides 并返回 MemoryContextPack 与 logs。,新增 preview API 且不破坏现有 /memory/retrieve；支持 section_enabled 覆盖 worldbook story_memory structured vector_rag graph fractal；支持预算覆盖并有默认值；fail-soft 保持 pack shape 稳定,cd backend; .\\.venv\\Scripts\\python.exe -m unittest tests/test_memory_preview_endpoints.py -v,none,DONE,DONE,DONE,backend/app/api/routes/memory.py | backend/app/services/memory_retrieval_service.py | backend/app/schemas | backend/tests/test_memory_preview_endpoints.py,none,priority:P0 | area:ContextPreview | phase:0.2 | source_refs:DOC-2.1-04;DOC-3-P0-05 | started_at:2026-01-15 | refs:backend/app/api/routes/memory.py:1;backend/app/services/memory_retrieval_service.py:1 | scope:add_unit_test | done_at:2026-01-15 | evidence:cd backend; .\\.venv\\Scripts\\python.exe -m unittest tests/test_memory_preview_endpoints.py -v (OK)
OPTI-008,[P0][frontend][phase:0.2] ContextPreviewDrawer 与生成设置一致化,现状：ContextPreviewDrawer 调用 /memory/retrieve 未带 query_text 且无 modules，写作生成抽屉却有 memory_query_text 与 memory_modules。目标：ContextPreviewDrawer 接入 preview API 并提供一键同步当前 genForm 的 query_text modules budget。,ContextPreviewDrawer 预览结果与生成抽屉设置一致；提供同步按钮与状态提示；memoryInjectionEnabled 关闭时不发请求且 UI 清晰,cd test; npx playwright test specs/ui/context-preview-sync.spec.ts,none,DONE,DONE,DONE,frontend/src/components/writing/ContextPreviewDrawer.tsx | frontend/src/components/writing/AiGenerateDrawer.tsx | frontend/src/pages/WritingPage.tsx | test/specs/ui/context-preview-sync.spec.ts,OPTI-007,priority:P0 | area:ContextPreview | phase:0.2 | source_refs:DOC-2.1-04;DOC-3-P0-05 | started_at:2026-01-15 | refs:frontend/src/components/writing/ContextPreviewDrawer.tsx:1;frontend/src/pages/WritingPage.tsx:1 | scope:add_e2e_spec | done_at:2026-01-15 | evidence:cd test; npx playwright test specs/ui/context-preview-sync.spec.ts (1 passed)
OPTI-009,[P0][test][phase:0.2] memory preview 与同步链路契约与回归用例,现状：现有测试主要覆盖 /memory/retrieve 基本形态且缺 preview API 与 modules 对齐保障。目标：新增或更新 Playwright contract 与 UI 用例覆盖 preview API 参数与返回结构确保预览≈实际注入不回退。,contract spec 覆盖 preview API 请求字段与响应 shape；UI spec 覆盖同步按钮与 modules 开关生效；回归通过,cd test; npx playwright test specs/api/memory-preview.contract.spec.ts specs/ui/context-preview-sync.spec.ts,none,DONE,DONE,DONE,test/specs/api/memory-preview.contract.spec.ts | test/specs/ui/context-preview-sync.spec.ts,OPTI-008,priority:P0 | area:ContextPreview | phase:0.2 | source_refs:DOC-2.1-04;DOC-3-P0-05;DOC-2.10-02 | started_at:2026-01-15 | refs:test/specs/api/memory-preview.contract.spec.ts:1;test/specs/ui/context-preview-sync.spec.ts:1 | done_at:2026-01-15 | evidence:cd test; npx playwright test specs/api/memory-preview.contract.spec.ts specs/ui/context-preview-sync.spec.ts (2 passed)
OPTI-010,[P0][backend][phase:0.3] ProjectSettings 增加 vector rerank 配置字段,现状：vector_rerank_enabled 为全局 config 默认关闭且缺项目级开关与方法选择。目标：在 ProjectSettings 增加 rerank_enabled rerank_method rerank_top_k 等字段并默认关闭保持行为。,Alembic 迁移完成；settings API 可读写字段；默认关闭时 query_project 行为不变,pwsh test/run-all.ps1,none,DONE,DONE,DONE,backend/app/models/project_settings.py | backend/alembic | backend/app/schemas/settings.py | backend/app/api/routes/settings.py | test/contracts/db_schema.json | test/scripts/snapshot-db.ps1,none,priority:P0 | area:Rerank | phase:0.3 | source_refs:DOC-1.2-02;DOC-2.7-01;DOC-3-P0-02 | started_at:2026-01-15 | refs:backend/app/models/project_settings.py:9;backend/app/schemas/settings.py:45;backend/app/api/routes/settings.py:22 | done_at:2026-01-15 | evidence:pwsh test/scripts/snapshot-db.ps1 (Updated test/contracts/db_schema.json); pwsh test/run-all.ps1 (All checks passed)
