ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
LMEM-000,[P0][both][phase:0.0] 初始化：test 分支工作流 + 测试基线认知落盘,把“怎么协作开发/怎么闭环验收/怎么提交”先固化为可执行约定：所有后续实现都必须基于 test 分支，并把 demo/test 作为黑盒回归入口。,确认仓库存在并切换到 `test` 分支（`git branch --show-current`=test；若不存在则从主分支创建）；确保 `demo/AGENTS.md` 与 `demo/issues_csv_execute.md` 已纳入 git 跟踪（作为执行规范随仓库提交）；明确执行规则：每条 issue 完成后必须更新本 CSV 的状态并同 commit 提交；本地验证命令明确且可复用：`pwsh demo/test/run-all.ps1`（或按 `demo/README.md` 分别跑前后端）；团队成员能从文档理解 `demo/test` 的定位（E2E/契约/DB 回归）。,pwsh test/run-all.ps1,manual,DONE,DONE,DONE,backend/ | frontend/ | test/,none,priority:P0 | phase:0.0 | area:both | owner:none | legacy_test_mcp:AUTOE2E | review_initial:Review 时确认：严格遵循 `demo/issues_csv_execute.md` 的闭环流程（先更新 CSV 再改代码；一条 issue 一次提交）；遵循 `demo/AGENTS.md` 的分支规则/测试路径规范/提交规范；任何协议/DB 变更必须同步更新 `demo/test/contracts/*` 与相应用例。 | review_regression:回归要求：跑通 `pwsh demo/test/run-all.ps1`；若因环境原因无法跑全套，必须按 `demo/issues_csv_execute.md` 写 `notes`（validation_limited/manual_test/evidence/risk），不得口头宣称“测试通过”。 | refs:demo/AGENTS.md:29;demo/AGENTS.md:194;demo/AGENTS.md:210;demo/issues_csv_execute.md:37;demo/issues_csv_execute.md:43;demo/issues_csv_execute.md:145;demo/README.md:78;demo/test/README.md:1;demo/test/run-all.ps1:1;demo/temp-process.md:488 | done_at:2026-01-09
LMEM-005,[P0][process][phase:0.0] 执行规范：每次 commit 后 push 到 GitHub test 分支,根据用户要求更新执行规范文档：将“本地提交（不 push）”改为“提交后 push”，并补充首次/后续 push 命令与交接输出要求。,`issues_csv_execute.md` 与 `.codex/prompts/issues_csv_execute.md`（含 `AGENTS.md`）均不再出现“不 push”表述；文档包含 `git push -u origin test`（首次）与 `git push`（后续）步骤。,manual: `rg '不 push' -n issues_csv_execute.md .codex/prompts/issues_csv_execute.md AGENTS.md` 输出为空；人工检查 push 步骤与交接输出描述,manual,DONE,DONE,DONE,issues_csv_execute.md | .codex/prompts/issues_csv_execute.md | AGENTS.md,LMEM-000,priority:P0 | phase:0.0 | area:process | owner:none | refs:user_req:2026-01-09 | evidence:rg_no_matches | done_at:2026-01-09
LMEM-010,[P0][backend][phase:0.1] Phase 0（后端）：MemoryContextPack + 调试接口 + 结构化日志占位,固化长期记忆系统的后端插入点：定义 MemoryContextPack（允许空包），提供 `/api/projects/{project_id}/memory/retrieve` 调试接口，并在生成链路预留 `memory_retrieval_log_json` 的结构化日志占位（默认不改变生成效果）。,`GET /api/projects/{project_id}/memory/retrieve` 返回稳定结构（worldbook/story_memory/structured/vector_rag/graph/fractal/logs），且缺依赖时返回空包不报错；生成链路在默认关闭记忆注入时不会新增任何 `sys.memory.*` PromptBlocks（可用 `prompt_render_log_json` 对比确认）；`generation_runs` 中能找到本次生成的检索日志占位（放 `params_json` 或等价位置）。,"cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p ""test_*.py"" -v",manual,DONE,DONE,DONE,backend/,LMEM-000,priority:P0 | phase:0.1 | area:backend | owner:none | legacy_test_mcp:AUTOSERVER | review_initial:Review 时确认：API 路由形态贴合 demo 现实（章节能力挂 `/api/chapters/{id}/...`，跨项目调试挂 `/api/projects/{id}/...`）；日志为结构化 JSON（可解释 candidates/裁剪/降级），禁止拼接巨字符串；确保 SQLite 单 worker 约束不被破坏（长 LLM 调用不持有事务）。 | review_regression:回归：按 `demo/README.md` 跑后端单测（compileall + unittest）；E2E 至少跑一次 `demo/test/specs/api` 的 smoke（或全套 run-all），确认新增接口不会破坏现有 health/projects/chapters 测试。 | refs:demo/长期记忆系统完整实现规划.md:227;demo/长期记忆系统完整实现规划.md:308;demo/长期记忆系统完整实现规划.md:1150;demo/README.md:78;demo/issues_csv_execute.md:15 | evidence:backend_compileall_ok_unittest_ok | done_at:2026-01-09
LMEM-030,[P0][frontend][phase:0.2] Phase 0（前端）：ContextPreviewDrawer + 写作页记忆开关占位,在不改变默认写作体验的前提下，为后续记忆能力预留 UI：写作页增加 ContextPreviewDrawer（可查看 MemoryContextPack/logs），并在 AiGenerateDrawer 增加“记忆注入开关（占位）”。,WritingPage 可打开 ContextPreviewDrawer 并展示空包字段；AiGenerateDrawer 有记忆开关且默认关闭；开关关闭时生成效果与 prompt 结构不变（以 `generation_runs.prompt_render_log_json` 为证据）；UI 风格符合 `ui设计规范.md`（Paper & Ink token、Hover/Focus/Active/Disabled 状态）。,cd frontend; npm run lint && npm test && npm run build,manual,DONE,DONE,DONE,frontend/,LMEM-000,priority:P0 | phase:0.2 | area:frontend | owner:none | legacy_test_mcp:AUTOFRONTEND | review_initial:Review 时确认：前端组件遵循项目 UI/动效与组件规范（`demo/ui设计规范.md` + `demo/README.md`）；不引入与主题冲突的样式；不把文案散落在组件内部（按 `demo/README.md` 的 uiCopy 规则收口）。 | review_regression:回归：跑 `frontend` 的 lint/test/build；跑 E2E `test/specs/ui` 的 smoke/visual（必要时更新 snapshots 并解释原因）。 | refs:demo/长期记忆系统完整实现规划.md:227;demo/长期记忆系统完整实现规划.md:308;demo/ui设计规范.md:1;demo/README.md:72;demo/README.md:78;demo/AGENTS.md:198 | evidence:frontend_lint_ok_vitest_ok_build_ok | done_at:2026-01-09
LMEM-040,[P0][tests][phase:0.3] Phase 0（测试）：新增记忆调试/占位的黑盒覆盖,把 Phase0 的“新接口/新 UI 占位”纳入 demo/test 黑盒回归：确保默认关闭记忆注入时不会影响生成链路；补齐非 OpenAI provider 开启流式时的降级提示与回退逻辑（避免空输出）。,新增至少 1 个 API spec（`test/specs/api`）覆盖 `/api/projects/{id}/memory/retrieve` 的响应结构；新增至少 1 个 UI spec 覆盖 WritingPage 打开 ContextPreviewDrawer；非 OpenAI provider 勾选流式生成时页面可见“不支持流式”提示且仍能产出内容；`pwsh demo/test/run-all.ps1` 可通过（或按 `demo/issues_csv_execute.md` 记录受限验收）。,cd test; npm test,manual,DONE,DONE,DONE,test/ | frontend/src/pages/writing/useChapterGeneration.ts,LMEM-000,priority:P0 | phase:0.3 | area:tests | owner:none | legacy_test_mcp:AUTOE2E | review_initial:Review 时确认：遵循 `demo/test/ADDING_TESTS.md` 的测试写法（UI spec 从 `test/lib/ui-test` 导入、bootstrapProject、严格 selector、必要时截图回归）；测试不依赖真实 LLM（走 Mock LLM）。 | review_regression:回归：确保 DB schema 基线未被意外改变（若无迁移则 `test/contracts/db_schema.json` 不应变化）；E2E 报告与 trace 产物可定位（失败时能给出 request_id/log）。 | refs:demo/test/ADDING_TESTS.md:1;demo/test/README.md:1;demo/test/README.md:47;demo/test/run-all.ps1:1;demo/issues_csv_execute.md:145;demo/长期记忆系统完整实现规划.md:227 | evidence:e2e_npm_test_ok_35_passed | evidence:playwright_report:demo/test/.artifacts/playwright-report/index.html | done_at:2026-01-09
LMEM-050,[P0][backend][phase:1.1] Phase 1（后端）：WorldBook 表 + 触发算法 + 注入到 MemoryContextPack,实现世界书最小可用闭环：worldbook_entries 表与 CRUD；蓝灯/绿灯/递归触发算法（对齐 Amily）；输出格式化为 MemoryContextPack.worldbook 并带可解释 reason。,worldbook_entries 支持 project 隔离；支持 constant/keywords/递归控制/char_limit/priority；preview_trigger 能返回 triggered 列表（含 reason=constant|keyword:xxx）与截断信息；MemoryContextPack.worldbook.text_md 在启用时包含 `<WORLD_BOOK>` 内容且可被 prompt block 读取；触发算法有上限与去重，不会死循环。,"cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p ""test_*.py"" -v",manual,DONE,DONE,DONE,backend/ | test/contracts/db_schema.json,LMEM-000,priority:P0 | phase:1.1 | area:backend | owner:none | legacy_test_mcp:AUTOSERVER | review_initial:Review 时确认：算法行为与字段语义一致（enable_recursion/exclude_recursion/prevent_recursion/char_limit）；注入走 PromptBlock（不直接把大段文本拼进单一 system prompt）；所有触发/截断理由必须可观测（写入 pack.logs 或 retrieval_log）。 | review_regression:回归：跑后端单测；新增/修改迁移后必须更新 `test/contracts/db_schema.json`（`pwsh demo/test/scripts/snapshot-db.ps1`）并确保 `test/specs/db` 通过。 | refs:demo/长期记忆系统完整实现规划.md:237;demo/长期记忆系统完整实现规划.md:491;demo/长期记忆系统完整实现规划.md:308;demo/test/ADDING_TESTS.md:23;demo/test/ADDING_TESTS.md:27 | evidence:backend_compileall_ok_unittest_47_ok | evidence:snapshot_db_schema_ok | evidence:db_schema_spec_ok | done_at:2026-01-09
LMEM-070,[P0][frontend][phase:1.2] Phase 1（前端）：WorldBook 管理页 + 预览触发 + 注入开关,提供可协作维护的世界书 UI：条目 CRUD、预览触发、以及在写作页启用/禁用 worldbook 注入的开关与预览。,存在 WorldBookPage 入口（导航可达）；支持创建/编辑/删除/启用；支持 preview_trigger 预览触发结果（reason/截断可见）；写作页启用 worldbook 后，ContextPreviewDrawer 能看到触发条目与 text_md；UI 样式遵循 Atelier 规范（布局留白、按钮状态、颜色 token）。,cd frontend; npm run lint && npm test && npm run build,manual,DONE,DONE,DONE,frontend/,LMEM-000,priority:P0 | phase:1.2 | area:frontend | owner:none | legacy_test_mcp:AUTOFRONTEND | review_initial:Review 时确认：交互链路不依赖隐藏状态（刷新后状态可还原）；避免一次性渲染超长内容导致卡顿（必要时折叠/分页）；所有新增 UI 文案遵循 UI Copy 收口规则。 | review_regression:回归：跑 `frontend` lint/test/build；跑 E2E UI smoke +（如涉及布局变化）更新截图基线并记录原因。 | refs:demo/长期记忆系统完整实现规划.md:237;demo/长期记忆系统完整实现规划.md:491;demo/ui设计规范.md:1;demo/README.md:72;demo/README.md:78 | evidence:frontend_lint_ok_vitest_ok_build_ok | done_at:2026-01-09
LMEM-080,[P0][tests][phase:1.3] Phase 1（测试）：WorldBook 黑盒闭环（CRUD/预览/注入）,把世界书能力纳入 demo/test：覆盖 CRUD、预览触发、写作页注入与降级行为，防止后续 RAG/结构化记忆改动引入回归。,至少新增 1 个 UI spec 覆盖 WorldBookPage CRUD + preview_trigger；至少新增 1 个 API spec 覆盖触发与响应结构；启用 worldbook 注入后生成链路能记录可解释日志（至少能在 retrieval/debug 接口看到 triggered/reason）；更新迁移后 DB schema 基线并通过 `test/specs/db`。,cd test; npm test,manual,DONE,DONE,DONE,test/,LMEM-000,priority:P0 | phase:1.3 | area:tests | owner:none | legacy_test_mcp:AUTOE2E | review_initial:Review 时确认：测试严格走黑盒（UI 用可访问性选择器；API 用 /api/... 响应结构断言）；必要时加 screenshot 回归用例；避免 flaky（禁止依赖随机排序/时间戳）。 | review_regression:回归：`pwsh demo/test/run-all.ps1` 通过（或受限验收按规落盘）。 | refs:demo/test/README.md:1;demo/test/ADDING_TESTS.md:1;demo/test/ADDING_TESTS.md:16;demo/test/run-all.ps1:1;demo/长期记忆系统完整实现规划.md:237 | evidence:cd_test_npm_test_ok | report:test/.artifacts/playwright-report | done_at:2026-01-10
LMEM-090,[P0][backend][phase:2.1] Phase 2（后端）：plot_analysis + story_memories 表与迁移（含 chapter_summary 强制）,引入章节级分析与统一记忆表：plot_analysis 存 analysis_json；story_memories 存多类型记忆（含 importance/tags/timeline/position/length/foreshadow 状态），并强制每章至少 1 条 chapter_summary。,迁移后存在 `plot_analysis` 与 `story_memories`；每章 analysis/apply 后至少生成 1 条 `chapter_summary`；`text_position=-1` 允许落库；schema 变更已更新 `test/contracts/db_schema.json` 并通过 db spec。,"cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p ""test_*.py"" -v",manual,DONE,DONE,DONE,backend/,LMEM-000,priority:P0 | phase:2.1 | area:backend | owner:none | legacy_test_mcp:AUTOSERVER | review_initial:Review 时确认：字段设计贴合后续结构化写入（不要过早拆表）；索引与查询口径支持按 project_id/chapter_id/type/timeline 过滤；软删/覆盖策略明确（同章重复 apply 不产生重复行）。 | review_regression:回归：跑后端单测；跑 `test/specs/db`；保证现有导出/章节列表不因迁移变更而失败。 | refs:demo/长期记忆系统完整实现规划.md:246;demo/长期记忆系统完整实现规划.md:369;demo/test/ADDING_TESTS.md:23;demo/test/README.md:123 | evidence:backend_compileall_ok_unittest_ok | evidence:snapshot_db_updated | evidence:playwright_db_schema_ok | done_at:2026-01-10
LMEM-100,[P0][backend][phase:2.2] Phase 2（后端）：analysis/apply 幂等 + 确定性抽取规则,在现有 `/api/chapters/{id}/analyze` 基础上新增 apply：把 analysis 落库并按确定性规则生成/覆盖 story_memories（减少二次 LLM 不确定性）。,`POST /api/chapters/{id}/analysis/apply` 存在且幂等（相同 analysis_hash 重复调用返回同结果，不重复插入）；analysis JSON 不合规时 fail-closed（不落库并返回可识别错误码）；抽取规则稳定：hooks/plot_points/foreshadows/character_states→memories 的映射可被单测或契约测试覆盖。,"cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p ""test_*.py"" -v",manual,DONE,DONE,DONE,backend/,LMEM-000,priority:P0 | phase:2.2 | area:backend | owner:none | legacy_test_mcp:AUTOSERVER | review_initial:Review 时确认：LLM 仅负责输出 analysis；抽取为确定性逻辑（可测试）；记录 apply 的审计（可用任务表或 generation_runs 新 run_type，但必须一致并可回放）。 | review_regression:回归：跑后端单测；跑 `test/specs/api` 覆盖 analyze→apply 的响应结构与错误码；确保写作页的 analyze modal 仍可用。 | refs:demo/长期记忆系统完整实现规划.md:441;demo/长期记忆系统完整实现规划.md:445;demo/长期记忆系统完整实现规划.md:480;demo/issues_csv_execute.md:15 | evidence:backend_compileall_ok_unittest_ok | done_at:2026-01-10
