ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
MOB-R01,DetailedOutlineSection手机端适配,"1.VolumeDetail按钮组手机端grid-cols-2全宽排列 2.两个Modal(DetailedOutlineGenerationModal+ChapterSkeletonGenerationModal)手机端padding减小p-4/sm:p-6 3.Modal内表单grid手机端单列 4.流式输出区手机端限高max-h-40/sm:max-h-60 5.删除按钮手机端独立一行","1.375px宽度下按钮不溢出不截断 2.Modal可正常滚动操作 3.表单输入框全宽可用 4.流式输出不遮挡操作按钮",Manual: DevTools 375px viewport,Codex,TODO,TODO,TODO,frontend/src/pages/outline/DetailedOutlineSection.tsx,None,纯样式修改不影响逻辑
MOB-R02,OutlineParsingSection手机端适配,"1.AgentCard streaming区手机端限高max-h-[40px]/sm:max-h-[60px] 2.解析结果Tab按钮手机端flex-col堆叠或overflow-x-auto横滑 3.Apply按钮组手机端grid-cols-2排列+全部应用按钮单独一行full-width 4.Modal整体padding p-4/sm:p-6 5.高级设置grid手机端单列","1.375px宽度下Agent仪表板可读 2.Tab按钮可正常切换 3.Apply按钮不溢出 4.Modal滚动流畅",Manual: DevTools 375px viewport,Codex,TODO,TODO,TODO,frontend/src/pages/outline/OutlineParsingSection.tsx,None,纯样式修改不影响逻辑
MOB-R03,EntriesPage手机端验证与修复,"1.验证tag filter chips是否有overflow-x-auto横滑 2.验证entry编辑Drawer手机端体验 3.验证列表项在手机端不溢出 4.修复发现的任何问题","1.375px宽度下所有交互正常 2.tag chips不溢出可横滑 3.Drawer表单可用",Manual: DevTools 375px viewport,Codex,TODO,TODO,TODO,frontend/src/pages/EntriesPage.tsx,None,可能无需修改如果已适配良好
MOB-R04,DashboardPage模式选择手机端适配,"1.创建模式radio选择区手机端全宽堆叠 2.描述文字不截断 3.触摸目标足够大min-h-44px 4.整体与表单风格统一","1.375px宽度下radio选项完整显示 2.描述文字可读 3.点击区域足够大",Manual: DevTools 375px viewport,Codex,TODO,TODO,TODO,frontend/src/pages/DashboardPage.tsx,None,检查MODE-001新增部分
READER-01,预览页阅读排版CSS优化,"1.atelier-content p增加text-indent:2em中文首行缩进 2.段间距margin-bottom:0.8em 3.字号18px/行高1.9/字间距0.02em 4.两端对齐text-align:justify 5.标题不缩进text-indent:0 6.手机端字号17px行高1.85 7.确认atelier-content使用范围,如果MarkdownEditor预览也用则考虑用atelier-reader新类限定仅预览页","1.预览页中文段落有2em首行缩进 2.段间距合适 3.标题不缩进 4.手机端字号适中 5.其他使用atelier-content的地方不受影响",Manual: 视觉验证,Codex,TODO,TODO,TODO,"frontend/src/index.css,frontend/src/pages/PreviewPage.tsx",None,需先确认atelier-content使用范围决定是否新建类
READER-02,预览页布局与标题优化,"1.阅读内容区宽度改为max-w-[720px]替代嵌套max-w-4xl 2.内容区padding PC端px-12 py-10/手机端px-5 py-6 3.章节标题居中显示+font-content字体+下方细分隔线 4.章节号与标题分两行:大号章节号+小号标题 5.非定稿状态提示移到标题下方小字","1.阅读区宽度适中不过窄 2.章节标题美观居中 3.留白充足舒适",Manual: 视觉验证,Codex,TODO,TODO,TODO,frontend/src/pages/PreviewPage.tsx,READER-01,依赖READER-01的CSS样式
READER-03,预览页手机端阅读体验,"1.手机端内容panel去掉border和shadow(border-0 shadow-none) 2.手机端固定底部导航栏:fixed bottom-0 left-0 right-0带上一章/下一章按钮+章节列表按钮 3.底部栏backdrop-blur bg-surface/80毛玻璃效果 4.底部栏与WizardNextBar共存不冲突 5.手机端隐藏顶部翻页按钮(sm:hidden) 6.手机端工具栏精简:仅保留返回+章节列表","1.手机端固定底部栏可翻页 2.底部栏不遮挡内容(pb足够) 3.工具栏不拥挤 4.WizardNextBar正常显示",Manual: DevTools 375px viewport,Codex,TODO,TODO,TODO,frontend/src/pages/PreviewPage.tsx,"READER-01,READER-02",手机端核心体验改进
READER-04,预览页PC端工具栏整理,"1.工具栏三段式布局:左(返回+章节列表)/中(当前章节信息)/右(翻页+编辑) 2.移除快捷键提示文字(改tooltip或完全移除) 3.翻页按钮加chapter title预览(hover) 4.返回按钮合并为一个(返回写作)","1.PC端工具栏布局清晰 2.无冗余文字 3.按钮功能明确",Manual: 视觉验证,Codex,TODO,TODO,TODO,frontend/src/pages/PreviewPage.tsx,"READER-01,READER-02",PC端体验微调
REVIEW-01,Codex代码审查,"gpt-5.4 xhigh审查MOB-R01~R04+READER-01~04的所有变更。检查:1.响应式断点一致性 2.Tailwind类正确性 3.无硬编码魔数 4.与现有组件风格统一 5.无功能回退","1.审查无Critical问题 2.所有响应式类正确 3.风格统一",Codex review mode,Codex,TODO,TODO,TODO,All modified files,"MOB-R01~R04,READER-01~04",审查后Claude必须自己看一遍
REVIEW-02,Claude验证+Git提交,"1.Claude逐文件Review确认符合原始需求 2.按issue分commit提交 3.push到GitHub","1.所有文件符合需求 2.npm run build通过 3.push成功",Manual: Claude验证+build+push,Claude,TODO,TODO,TODO,All modified files,REVIEW-01,最终验证环节
