ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
FF-001,[P0][security][backend] Request schema fail-closed Phase1,引入 RequestModel(extra=forbid) 并迁移首批写接口请求 schema（auth/projects/llm/styles）对未知字段一律 400 拒绝（VALIDATION_ERROR）且不再静默忽略,列出已迁移的 endpoints 并证明 unknown field 会 400（VALIDATION_ERROR）；新增至少 3 条测试覆盖（auth/projects/styles 各 1 条）；现有合法请求不受影响,cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p test_*.py -v; cd test; npm test -- specs/api/auth-rbac.contract.spec.ts,none,DONE,DONE,DONE,backend/app/schemas/* | backend/app/api/routes/auth.py | backend/app/api/routes/projects.py | backend/app/api/routes/llm_profiles.py | backend/app/api/routes/writing_styles.py | backend/tests/*,none,priority:P0 | area:security | source:docs/reviews/REV-004.md | output:none | done_at:2026-01-11 | endpoints_migrated:/auth/local/login+/auth/password/change+/auth/admin/users/*/disable+/projects+/projects/*+/llm_profiles+/llm_profiles/*+/writing_styles+/writing_styles/*+/projects/*/writing_style_default | evidence:backend/tests/test_request_schema_fail_closed_phase1.py
FF-002,[P1][security][backend] Input size limits for open-shape fields,为开放形状字段与大文本输入补齐硬上限（max_length 与 validator）避免超大 payload 导致 DoS 或异常路径,完成一次全仓 request schema 盘点并对命中项补边界；新增单测验证超限请求被拒绝（422 或 400）且错误信息清晰,cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p test_*.py -v,none,DONE,DONE,DONE,backend/app/schemas/* | backend/app/api/routes/* | backend/tests/*,none,priority:P1 | area:security | source:docs/reviews/REV-004.md | output:none | done_at:2026-01-11 | evidence:backend/tests/test_request_size_limits.py | touched:schemas/limits+chapters+outline+chapter_analysis+prompt_presets+llm_preset+llm_test+outline_generate+settings+characters+worldbook+batch_generation | touched:routes/vector.py
FF-003,[P1][security][backend] RBAC unauthorized error semantics policy,统一跨项目资源访问的错误语义以降低资源存在性泄露风险（明确哪些场景返回 404 而非 403）并补契约测试,落盘一份错误语义策略文档；按策略调整 deps/路由返回码；新增或更新 contract tests 覆盖至少 3 条跨项目访问用例,cd test; npm test -- specs/api/auth-rbac.contract.spec.ts,none,DONE,DONE,DONE,backend/app/api/deps.py | backend/app/api/routes/* | test/specs/api/auth-rbac.contract.spec.ts | docs/security/rbac-error-policy.md | backend/tests/test_rbac_project_memberships.py | backend/tests/test_memory_update_v1_endpoints.py,none,priority:P1 | area:security | source:docs/reviews/REV-003.md | output:docs/security/rbac-error-policy.md | done_at:2026-01-11 | evidence:docs/security/rbac-error-policy.md | evidence:test/specs/api/auth-rbac.contract.spec.ts
FF-004,[P2][security][test] XSS regression guard for Markdown rendering,为 Markdown 渲染路径增加 Playwright 回归用例确保不会执行 raw HTML（防止未来误引入 rehypeRaw 或 innerHTML）,新增 UI spec 覆盖恶意 payload（script/onerror/javascript:）且断言无弹窗无脚本执行；在安全约束被破坏时用例应 fail-fast,cd test; npm test -- specs/ui/xss-markdown.spec.ts,none,DONE,DONE,DONE,test/specs/ui/xss-markdown.spec.ts | frontend/src/components/atelier/MarkdownEditor.tsx | frontend/src/pages/PreviewPage.tsx,none,priority:P2 | area:test | source:docs/reviews/REV-006.md | evidence:playwright xss-markdown spec passed | risk:low | done_at:2026-01-12 | output:none
FF-005,[P2][security][backend] Secrets redaction unit tests,为日志脱敏与 API Key 掩码补单测覆盖常见模式并确保响应面永不回传明文 key/token,新增单测覆盖 Bearer X-LLM-API-Key sk-/rk-/pk- AIza 等模式；确保 llm profile 输出仅含 has_api_key/masked_api_key,cd backend; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p test_*secrets*.py -v,none,DONE,DONE,DONE,backend/app/core/logging.py | backend/app/core/secrets.py | backend/app/api/routes/llm_profiles.py | backend/tests/*,none,priority:P2 | area:security | source:docs/reviews/REV-007.md | evidence:unittest secrets pattern suite passed | risk:low | done_at:2026-01-12 | output:none
FF-006,[P2][security][auth] session_expire_at cookie hardening,确认前端是否仍需读取 session_expire_at cookie；若不需要则改为 HttpOnly 或移除该 cookie 并保持过期信息通过 /api/auth/user 返回,前端仍可展示 expireAt 且 refresh/logout 行为不变；JS 不再可读 session_expire_at；相关契约测试更新并通过,cd test; npm test -- specs/api/auth-rbac.contract.spec.ts; cd test; npm test -- specs/ui/navigation.spec.ts,none,DONE,DONE,DONE,backend/app/core/auth_session.py | backend/app/api/routes/auth.py | frontend/src/contexts/AuthContext.tsx | test/specs/api/auth-rbac.contract.spec.ts,none,priority:P2 | area:security | source:docs/reviews/REV-001.md | evidence:auth-rbac.contract+navigation specs passed | risk:low | done_at:2026-01-12 | output:none
FF-007,[P0][docs][security][deploy] Production security checklist,新增生产部署安全清单文档覆盖 CORS allow_credentials Cookie SameSite/Secure APP_ENV 护栏 ports 暴露与 secrets 管理并汇总推荐配置,docs/deployment/security-checklist.md 落盘且包含可执行 checklist 与示例 env；引用相关 review 结论并链接到 compose/Docker 文档,manual: 阅读 docs/deployment/security-checklist.md 并按 checklist 自查一次（不要求改代码）,manual,DONE,DONE,DONE,docs/deployment/security-checklist.md | README.md,none,priority:P0 | area:docs | source:docs/reviews/REV-001.md+docs/reviews/REV-002.md+docs/reviews/REV-017.md | output:docs/deployment/security-checklist.md | done_at:2026-01-11 | evidence:docs/deployment/security-checklist.md
FF-008,[P0][deploy] docker-compose prod hardening overlay,新增 docker-compose.prod.yml（或 override）以降低默认暴露面（DB/Redis 不对公网暴露）并保持现有 docker-compose.yml 作为 dev 形态,新增 prod compose 文件与使用说明；docker compose config 可生成且默认无多余 ports 暴露；不引入明文 secrets 提交,manual: docker compose -f docker-compose.yml -f docker-compose.prod.yml config,manual,DONE,DONE,DONE,docker-compose.prod.yml | docker-compose.yml | docs/deployment/*,none,priority:P0 | area:security | source:docs/reviews/REV-017.md | output:docker-compose.prod.yml | done_at:2026-01-11 | evidence:docker compose config ok (postgres/redis no ports) | local_env:.env.docker copied from .env.docker.example (gitignored)
FF-009,[P1][deploy][backend] Backend container non-root runtime,将 backend/Dockerfile 调整为非 root 用户运行并补齐必要的目录权限与文档说明,容器运行时 USER 非 root；健康检查通过；不影响现有 dev compose 与测试启动脚本（如需变更则同步文档）,manual: docker build -f backend/Dockerfile backend -t ainovel-backend:ff-009; manual: docker run --rm --entrypoint sh ainovel-backend:ff-009 -c 'id -u && id -un'; manual: docker run --rm -d -p 18000:8000 -e DATABASE_URL=sqlite:////data/ainovel.db --name ainovel-backend-ff-009 ainovel-backend:ff-009; manual: curl http://localhost:18000/api/health; manual: docker stop ainovel-backend-ff-009,manual,DONE,DONE,DONE,backend/Dockerfile | docker-compose*.yml | docs/deployment/*,none,priority:P1 | area:security | source:docs/reviews/REV-017.md | output:none
FF-010,[P1][deploy][frontend] Frontend nginx unprivileged + security headers,将前端 nginx 运行形态改为非 root 并在 nginx.conf 增加基础安全响应头（X-Content-Type-Options 等）不破坏 SPA 与 /api 反代,容器运行时非 root；curl -I 可看到新增 headers；页面路由与 /api 反代仍可用,manual: docker build -f frontend/Dockerfile frontend -t ainovel-frontend:ff-010; manual: docker run --rm --entrypoint sh ainovel-frontend:ff-010 -c 'id -u && id -un'; manual: docker network create ainovel-net-ff-010; manual: docker run --rm -d --name backend --network ainovel-net-ff-010 -e DATABASE_URL=sqlite:////data/ainovel.db ainovel-backend:ff-009; manual: docker run --rm -d -p 18080:80 --name frontend --network ainovel-net-ff-010 ainovel-frontend:ff-010; manual: curl -I http://localhost:18080/; manual: curl http://localhost:18080/api/health; manual: docker rm -f frontend backend; manual: docker network rm ainovel-net-ff-010,manual,DONE,DONE,DONE,frontend/Dockerfile | frontend/nginx.conf,none,priority:P1 | area:security | source:docs/reviews/REV-017.md | output:none
