ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
AUDIT-000,[P0][meta] Track audit artifacts & requirements docs,"将审计产物（plan/CSV）与需求/错误/前端问题发现/使用说明等文档纳入版本控制，作为后续实现的唯一 backlog 与审计证据；不得包含任何密钥/令牌/个人数据。","上述文件均被 git 跟踪；敏感信息扫描无明文密钥/令牌/个人数据；后续实现以该 CSV 为唯一 backlog。","git ls-files --error-unmatch issues/2026-01-31_05-41-03-full-audit-ui-save-rag-tasks.csv plan/2026-01-31_05-41-03-full-audit-ui-save-rag-tasks.md plan/2026-01-28_18-47-32-ui-layout-rag-icons.md 完整任务要求.txt 错误信息.txt 前端完全优化问题发现.md 使用说明.md | git status --porcelain=v1",none,DONE,DONE,DONE,"issues/2026-01-31_05-41-03-full-audit-ui-save-rag-tasks.csv | plan/2026-01-31_05-41-03-full-audit-ui-save-rag-tasks.md | plan/2026-01-28_18-47-32-ui-layout-rag-icons.md | 完整任务要求.txt | 错误信息.txt | 前端完全优化问题发现.md | 使用说明.md",none,"priority:P0 | area:meta | has_api_key:false | secret_scan:pass (patterns+email/phone=0) | added_to_git:7 files | verify:git ls-files ok + git status clean | attempted_e2e:cd test;npm test -> FAIL (14 failed/110) | note:e2e failures are pre-existing functional gaps tracked by subsequent AUDIT-* issues"
AUDIT-001,[P0][backend][tasks] 修复 AppError 的 str()/args 导致错误信息为空,"修复 AppError 作为 dataclass 继承 Exception 时未设置 args 导致 str(AppError)==""""；确保日志/任务错误可读且不泄露密钥。",AppError.message 能通过 str(exc) 输出；project_task/memory_task 的 error_json.message 不再为空；现有测试通过。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/core/errors.py | backend/tests/test_app_error_str.py,none,"priority:P0 | area:backend | refs:错误信息.txt | change:AppError.__post_init__ calls Exception(message) so str(exc) non-empty | test:add backend/tests/test_app_error_str.py | verify:compileall ok; unittest OK (184 tests) | risk:low (only affects str()/args)"
AUDIT-002,[P0][backend][tasks] ProjectTask 失败记录包含 AppError.code/details,project_task_service.run_project_task 捕获异常时对 AppError 使用 code/message/details（而非 str(exc)）；TaskCenter 展示 error_type/error_message 与 error.details 摘要。,ProjectTask.failed 时 error_json 至少包含 error_type+code+message；TaskCenter 列表与详情可见；不含明文 api_key。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/services/project_task_service.py | backend/app/core/logging.py | backend/app/core/secrets.py | backend/tests/test_project_task_worker_app_error.py,AUDIT-001,"priority:P0 | area:backend | change:ProjectTask failed error_json includes AppError code+details (details redacted) | change:export logging.redact_secrets_text for env-independent message redaction | test:add backend/tests/test_project_task_worker_app_error.py | verify:compileall ok; unittest OK (185 tests) | security:no plaintext api_key in stored error_json"
AUDIT-003,[P0][backend][tasks] MemoryTask 失败记录与展示补齐,memory_update_service.run_memory_task 捕获异常时对 AppError 使用 code/message/details；TaskCenter UI 对 MemoryTask 也展示可复制的错误信息。,MemoryTask.failed 具备可读 message；TaskCenter 可查看/复制 error_json；不泄露密钥。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v | cd frontend | npm run lint | npm test | npm run build",none,DONE,DONE,DONE,backend/app/services/memory_update_service.py | backend/tests/test_memory_task_worker_app_error.py | frontend/src/pages/TaskCenterPage.tsx,AUDIT-001,"priority:P0 | area:backend+frontend | change:MemoryTask failed error_json includes AppError code+details (details redacted) and message is redacted+non-empty | change:memory_task_to_dict includes error payload so TaskCenter can view/copy | change:TaskCenter copyDebugInfo for MemoryTask includes error JSON | test:add backend/tests/test_memory_task_worker_app_error.py | verify:backend unittest OK (186 tests); frontend lint OK; vitest OK (19 tests); build OK | security:no plaintext api_key"
AUDIT-004,[P0][backend][tasks] 在 /api/health 或新接口暴露队列状态（rq/inline/redis）,增加可观测性：返回 TASK_QUEUE_BACKEND、redis 连接可用性、worker 建议；前端可据此提示“为何无感更新不运行”。,health 返回 queue_backend/redis_ok（或新增 /api/queue/status）；前端可显示明确提示；不泄露 redis_url 口令。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v | cd frontend | npm run lint | npm test | npm run build",none,DONE,DONE,DONE,backend/app/api/routes/health.py | backend/app/services/task_queue.py | frontend/src/pages/TaskCenterPage.tsx,AUDIT-001,"priority:P0 | area:backend+frontend | change:/api/health includes queue_backend+redis_ok (+rq_queue_name/worker_hint) | change:add task_queue.get_queue_status_for_health (redis ping timeout 0.5s) | change:TaskCenter fetches /api/health and shows queue status + worker hint | verify:backend unittest OK (186 tests); frontend lint OK; vitest OK (19 tests); build OK | security:no redis_url leaked (only redis_error_type)"
AUDIT-005,[P0][backend][tasks] rq 不可用时 fail-soft：不“静默失败”且给出可执行修复指引,当 TASK_QUEUE_BACKEND=rq 且 enqueue 失败时：写入 ProjectTask/MemoryTask 的 error_json（可读、含指引），并在 UI 提示“启动 redis+worker 或切到 inline”。,rq 不可用时任务仍可追踪（failed/queued 均可）且错误信息可见；UI 给出修复步骤；写作保存不被阻断。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v | cd frontend | npm run lint | npm test | npm run build",none,DONE,DONE,DONE,backend/app/services/task_queue.py | backend/app/services/project_task_service.py | backend/app/services/memory_update_service.py | backend/app/core/logging.py | backend/tests/test_task_queue_rq.py | backend/tests/test_memory_task_retry_endpoint.py | frontend/src/pages/TaskCenterPage.tsx,AUDIT-001 | AUDIT-002 | AUDIT-003,"priority:P0 | area:backend+frontend | refs:错误信息.txt | change:RqTaskQueue.enqueue raises AppError(QUEUE_UNAVAILABLE) with how_to_fix details (no redis_url) | change:enqueue failure writes AppError code+details into ProjectTask/MemoryTask error_json with redacted message | change:redact_secrets_text redacts URL credentials to avoid leaking redis password | change:TaskCenter drawer shows MemoryTask error JSON + how_to_fix steps | test:update backend/tests/test_task_queue_rq.py + backend/tests/test_memory_task_retry_endpoint.py | verify:backend unittest OK (187 tests); frontend lint OK; vitest OK (19 tests); build OK"
AUDIT-006,[P0][backend][tasks] inline 后端下任务执行策略重审：避免阻塞保存/写作,目前 inline 会同步执行部分 ProjectTask（search/worldbook/table/graph），可能导致“保存卡死/体验糟糕”；需要改为单线程后台 worker（in-process）或明确配置选项，保证单 worker+不持有长事务。,保存/定稿请求延迟显著降低（任务异步执行）；任务仍能在 dev 无 redis 场景自动跑完；并发安全（单 worker）。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/services/task_queue.py | backend/app/services/project_task_service.py | backend/app/api/routes/chapters.py | backend/tests/test_task_queue_rq.py | backend/tests/test_memory_task_retry_endpoint.py,AUDIT-005,"priority:P0 | area:backend | risk:UX/blocking | note:SQLite 单 worker | change:inline TaskQueue uses single in-process worker (async) so enqueue no longer blocks request | change:chapter done no longer runs rebuild_fractal_memory sync; now schedules ProjectTask(kind=fractal_rebuild) via schedule_chapter_done_tasks | change:run_project_task supports fractal_rebuild | test:update backend tests for async inline worker; verify:compileall ok; unittest OK (187 tests)"
AUDIT-007,[P0][backend][rag] dev 场景确保 vector_rebuild 可执行（否则 RAG 永远过期）,当前 inline 下 memory_task 不执行且 project_task 未覆盖 vector_rebuild，导致向量库不更新；需要让 dev 模式下 vector_rebuild 可跑或给出明确“手动重建/后台重建”路径。,在无 redis 的默认体验下：章节/大纲/世界书变更后 vector_rebuild 能最终执行；RagPage status 不再长期 dirty；相关日志/TaskCenter 可追踪。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/services/task_queue.py | backend/tests/test_task_queue_dev_fallback.py | backend/app/services/vector_rag_service.py | backend/app/services/memory_update_service.py | backend/app/api/routes/vector.py,AUDIT-006,priority:P0 | area:backend | change:dev 在 TASK_QUEUE_BACKEND 未显式固定为 rq 且 redis 不可用时自动回落 inline queue 确保 vector_rebuild 等后台任务可执行不长期 dirty | change:health worker_hint 补充 dev auto fallback 提示 | test:add backend/tests/test_task_queue_dev_fallback.py | verify:compileall ok; unittest OK (190 tests; skipped=1) | risk:dev-only fallback; 显式 TASK_QUEUE_BACKEND=rq 仍保持严格失败可观测
AUDIT-008,[P1][test][tasks] 增加“队列不可用”回归测试与文档指引,补齐测试：模拟 rq enqueue 失败时 ProjectTask/MemoryTask 的 error_message 不为空；同时更新 docs/使用说明，告诉用户如何启动 worker。,新增/更新后端单测通过；文档包含最小步骤（redis+worker 或 inline fallback）；错误信息可定位。,"cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/tests/test_memory_task_retry_endpoint.py | backend/tests/test_project_tasks_endpoints.py | README.md | 使用说明.md,AUDIT-005,priority:P1 | area:test+docs | test:assert queue unavailable keeps MemoryTask/ProjectTask error_message non-empty | docs:README+使用说明.md 补齐 redis+worker 与 inline fallback 最小指引 | verify:compileall ok; unittest OK (191 tests; skipped=1) | risk:low (tests+docs only)
AUDIT-009,[P0][frontend][ui] 全局 ::selection 主题化（去默认蓝色）,在全局样式中定义 ::selection / ::-moz-selection，使用 atelier accent+surface，避免浏览器默认蓝色选中文本。,Chrome/Firefox 文本选中颜色符合 Paper&Ink；不影响可读性；暗色模式也正确。,cd frontend | npm run lint | npm test | npm run build,none,DONE,DONE,DONE,frontend/src/index.css,none,priority:P0 | area:frontend | refs:ui设计规范.md | change:全局 ::selection/::-moz-selection 使用 accent 透明底色+ink 文本色避免默认蓝色 | verify:lint ok; vitest OK (19 tests); build OK | risk:low (global selection)
