ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
LMEM-600,[P0][research][phase:0] 图谱建模与编辑体验调研,联网调研小说人物关系图谱的建模与编辑体验并形成可执行设计决策;输出为仓库内文档;不改业务代码,产出 docs/design/graph-model.md 且包含:property graph 选型理由;关系类型与属性策略;证据与回放策略;增量更新策略;降级策略;UI 编辑交互草案,manual:PowerShell IWR 至少获取 3 个权威来源并将链接与结论写入 docs;文件中可定位到本仓库现有 entities/relations/evidence 的映射,manual,DONE,DONE,DONE,docs/design/graph-model.md | plan/2026-01-30_16-15-00-lmem-worldbook-plot-tables-rag-graph-search.md,none,priority:P0 | area:research | phase:0 | refs:https://neo4j.com/docs/getting-started/current/graphdb-concepts/ https://starc.app/help/characters-relations | risk:design drift | evidence:2026-01-30 IWR GET 200 neo4j(graphdb-concepts) + kanka(relationships) + w3c(prov-overview) | output:docs/design/graph-model.md
LMEM-601,[P0][research][phase:0] 搜索引擎与 FTS5 trigram 调研,联网调研 SQLite FTS5 trigram 与外部内容表及增量维护策略并形成可执行设计决策;输出为仓库内文档;不改业务代码,产出 docs/design/search-engine.md 且包含:FTS5 trigram substring 匹配能力;external content 一致性责任;增量索引策略;性能与 fallback 方案;对本仓库 sources 的映射,manual:PowerShell IWR 拉取 sqlite 官方文档并在 docs 中引用关键段落链接与策略;给出预计表结构与迁移要点,manual,DONE,DONE,DONE,docs/design/search-engine.md | plan/2026-01-30_16-15-00-lmem-worldbook-plot-tables-rag-graph-search.md,none,priority:P0 | area:research | phase:0 | refs:https://www.sqlite.org/fts5.html | risk:tokenizer availability | evidence:2026-01-30 IWR GET 200 https://www.sqlite.org/fts5.html (anchors: #the_trigram_tokenizer #external_content_and_contentless_tables #the_rebuild_command) | output:docs/design/search-engine.md
LMEM-602,[P0][design][phase:0] 自动化后台任务系统方案决策,明确自动化后台更新的任务持久化与可观测方案;决定采用 ProjectTask 新表 或 扩展现有 MemoryTask;并给出 Task Center 展示与重试接口契约,产出 docs/design/task-system.md 且包含:任务状态枚举;幂等键;重试语义;与 rq+inline 的兼容;与现有 memory_tasks 的整合策略,manual:写入 docs 并在 Notes 标注选择与理由;无需跑代码,manual,DONE,DONE,DONE,docs/design/task-system.md | frontend/src/pages/TaskCenterPage.tsx | backend/app/services/memory_update_service.py,none,priority:P0 | area:design | phase:0 | risk:migration cost | evidence:2026-01-30 decision=ProjectTask(new table) + keep memory_tasks for change_set | output:docs/design/task-system.md
LMEM-610,[P0][backend][phase:0] TaskCenter 任务状态对齐,修复后端 MemoryTask 状态与前端展示不一致导致的统计与文案异常;保持向后兼容,前端任务列表统计正确;humanize 文案覆盖所有实际状态值;历史 succeeded 任务可正常显示为完成,"cd backend | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/services/memory_update_service.py | backend/app/api/routes/memory.py | frontend/src/lib/humanize.ts,LMEM-602,"priority:P0 | area:backend | phase:0 | risk:status migration | evidence:backend unittest OK (166 tests) cmd=cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p ""test_*.py"" -v"
LMEM-611,[P0][backend][phase:0] TaskCenter 支持重试 memory_task,为失败的 memory_task 提供可重试 API 且幂等;重试不阻断主流程;错误可见,新增 POST /api/memory_tasks/{id}/retry 或等效;失败任务可重新排队且 status 变化可追踪,"cd backend | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/api/routes/memory.py | backend/app/services/memory_update_service.py,LMEM-610,"priority:P0 | area:backend | phase:0 | risk:queue unavailable | evidence:added POST /api/memory_tasks/{id}/retry; backend unittest OK (167 tests) cmd=cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p ""test_*.py"" -v"
LMEM-612,[P0][backend][phase:0.5] 引入 ProjectTask 表与迁移,新增通用项目级后台任务表用于 worldbook search vector graph 等自动更新;包含 status params result error timestamps;支持 retry,alembic revision + upgrade head 可成功;test/contracts/db_schema.json 同步,cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | pwsh test/scripts/snapshot-db.ps1,none,DONE,DONE,DONE,backend/app/models/project_task.py | backend/alembic/versions | test/contracts/db_schema.json,LMEM-602,priority:P0 | area:backend | phase:0.5 | risk:db migration | evidence:compileall OK; snapshot-db OK; alembic upgrade ran ee23bd2770fc->4c971683d6cb cmd=cd backend; .\.venv\Scripts\python.exe -m compileall -q app alembic ; pwsh test/scripts/snapshot-db.ps1
LMEM-613,[P0][backend][phase:0.5] ProjectTask API 与查询,提供 ProjectTask 的 list get retry API 供 Task Center 使用;返回不包含明文 key,接口可分页筛选 kind status,"cd backend | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/api/routes/tasks.py | backend/app/api/router.py | backend/app/services/project_task_service.py,LMEM-612,"priority:P0 | area:backend | phase:0.5 | risk:api contract | evidence:added /api/projects/{project_id}/tasks(list filter kind/status) + /api/tasks/{id}(get) + /api/tasks/{id}/retry; backend unittest OK (170 tests) cmd=cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p ""test_*.py"" -v"
LMEM-614,[P0][backend][phase:0.5] ProjectTask worker 执行入口,实现 rq worker entrypoint 执行 project_task 并记录结果;inline 模式也可运行;失败 fail-soft,在 scripts/run_rq_worker.py 注册 project_task kind;本地可通过单元测试或最小集成验证,"cd backend | .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \""test_*.py\"" -v",none,DONE,DONE,DONE,backend/app/services/project_task_service.py | backend/scripts/run_rq_worker.py,LMEM-613,"priority:P0 | area:backend | phase:0.5 | risk:redis missing | evidence:added run_project_task worker entrypoint + task_queue kind=project_task (inline+rQ); backend unittest OK (171 tests) cmd=cd backend; .\.venv\Scripts\python.exe -m unittest discover -s tests -p ""test_*.py"" -v"
LMEM-615,[P0][frontend][phase:0.5] TaskCenter 展示 ProjectTask,Task Center 页面增加 ProjectTask 列表与详情区;支持刷新与重试;遵循高级调试页分层,页面可查看 ProjectTask 列表与详情;支持刷新与重试;aria-label 稳定,cd frontend | npm test,none,DONE,DONE,DONE,frontend/src/pages/TaskCenterPage.tsx | frontend/src/lib/humanize.ts,LMEM-613,priority:P0 | area:frontend | phase:0.5 | risk:e2e selectors | evidence:TaskCenter shows ProjectTask list/detail + retry; aria-label taskcenter_projecttask_* ; frontend vitest OK cmd=cd frontend; npm test
LMEM-620,[P0][backend][phase:1] ProjectSettings 增加 rerank 独立配置字段,将 rerank 的 provider base_url model api_key_ciphertext api_key_masked timeout hybrid_alpha 写入项目设置;并保留旧字段兼容,alembic 迁移通过;设置读取返回仅 has_api_key masked,cd backend | .\\.venv\\Scripts\\python.exe -m compileall -q app alembic | pwsh test/scripts/snapshot-db.ps1,none,DONE,DONE,DONE,backend/app/models/project_settings.py | backend/alembic/versions | test/contracts/db_schema.json,LMEM-612,priority:P0 | area:backend | phase:1 | risk:secret handling | evidence:alembic upgrade ran 4c971683d6cb->902bd83f86ed; snapshot-db OK; cmd=cd backend; .\.venv\Scripts\python.exe -m compileall -q app alembic ; pwsh test/scripts/snapshot-db.ps1
