ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
MVP-PLAN-001,[P0][docs][plan] 初始化：入库调查记录+plan+issues,"将本次调查补充写入 实际测试发现错误.md 并生成 plan 与 issues CSV 作为修复准备基线；不包含任何修复实现。","plan 与 issues CSV 存在且 timestamp/slug 匹配；CSV 校验通过；仅包含允许文件；已 commit+push 到 origin/test。","python .codex/skills/plan/scripts/validate_issues_csv.py issues/2026-01-14_03-55-11-investigation-actual-bugs.csv",manual,DONE,DONE,DONE,"实际测试发现错误.md | plan/2026-01-14_03-55-11-investigation-actual-bugs.md | issues/2026-01-14_03-55-11-investigation-actual-bugs.csv",none,"priority:P0 | area:docs | refs:实际测试发现错误.md#L165"
MVP-BE-001,[P0][backend][startup] README 启动因管理员密码校验退出,"修复开箱即用启动：backend/.env 的 AUTH_ADMIN_PASSWORD 与校验策略不一致导致 ensure_admin_user 在 lifespan 抛错退出。明确期望行为并让 README 启动命令可用。","按 README 后端启动命令启动成功（exit code 0）；/docs 200；不需要手动修改环境变量；不泄露密码。","manual: cd backend; .\\.venv\\Scripts\\python.exe -m uvicorn app.main:app --workers 1 --port 8000 ; 访问 http://127.0.0.1:8000/docs 返回 200",manual,DONE,DONE,DONE,"backend/.env | backend/app/main.py | backend/app/services/auth_service.py | README.md",none,"priority:P0 | area:backend | suspected_root:ensure_admin_user->hash_password len<8 | refs:实际测试发现错误.md#L27"
MVP-FE-001,[P1][frontend][worldbook][area:preview] Drawer 打开时预览触发不可用/易误触,"世界书编辑 Drawer 打开时，右侧预览触发面板点击 预览 无法触发 preview_trigger 请求；疑似被 Drawer 覆盖或命中异常并可能误触编辑区字段导致 dirty。","Drawer 打开时：预览要么可触发并展示结果；要么明确禁用并提示原因且不发生误触/dirty；Drawer 关闭时保持正常。","manual: 世界书页分别在 Drawer 关闭 与 打开 两态点击 预览；观察 POST /api/projects/<id>/worldbook_entries/preview_trigger 是否出现",manual,DONE,DONE,DONE,"frontend/src/pages/WorldBookPage.tsx | frontend/src/lib/uiCopy.ts",none,"priority:P1 | area:frontend | confirmed:partial | fix:preview_in_drawer_when_open | fix:disable_preview_run_button_when_drawer_open | refs:实际测试发现错误.md#L43 | refs2:实际测试发现错误.md#L165"
MVP-FE-002,[P1][frontend][routing][area:blocker] multiple useBlocker warning,"跨页面 dirty 离开后控制台出现 A router only supports one blocker at a time；推测 PersistentOutlet 缓存导致离开页面未卸载从而残留多个 useUnsavedChangesGuard/useBlocker。","按复现路径操作后控制台不再出现该 warning；离开确认框行为稳定；路由切换与 URL/页面一致。","manual: 设定 dirty 离开 -> 大纲 dirty 离开 -> 模型配置 dirty ; 控制台不得出现 only supports one blocker",manual,DONE,DONE,DONE,"frontend/src/components/layout/AppShell.tsx | frontend/src/hooks/usePersistentOutlet.tsx | frontend/src/hooks/useUnsavedChangesGuard.tsx | frontend/src/pages/SettingsPage.tsx | frontend/src/pages/OutlinePage.tsx | frontend/src/pages/PromptsPage.tsx | frontend/src/pages/WritingPage.tsx | frontend/src/pages/writing/useChapterEditor.ts",none,"priority:P1 | area:frontend | confirmed:yes | refs:实际测试发现错误.md#L184"
MVP-FE-003,[P2][frontend][a11y][area:settings] Settings 表单缺少 id/name (count 5),"Settings 页 5 个字段缺少 id/name 触发 Chrome Issues 提示（Vector RAG 3 个 + 邀请成员 2 个）。","Chrome Issues 不再提示；DOM scan missing count=0；不影响现有逻辑。","manual: 打开设定页 -> DevTools Issues 不出现 form field id/name 提示",manual,DONE,DONE,DONE,"frontend/src/pages/SettingsPage.tsx",none,"priority:P2 | area:frontend | confirmed:yes | refs:实际测试发现错误.md#L64"
MVP-FE-004,[P2][frontend][ux][area:drawer] Drawer 支持 Esc 关闭,"当前 Drawer/Overlay 仅支持点击遮罩或按钮关闭；世界书编辑 Drawer 已确认 Esc 不关闭。评估并统一 Esc 关闭行为以减少误触成本。","打开 Drawer 后按 Esc 可关闭（或明确不支持并在 UI 提示）；行为在各 Drawer 一致。","manual: 世界书->新建条目打开 Drawer->按 Esc ; Drawer 应关闭或给出一致的可预期反馈",manual,DONE,DONE,DONE,"frontend/src/components/ui/Overlay.tsx",none,"priority:P2 | area:frontend | confirmed:yes | refs:实际测试发现错误.md#L192"
MVP-CONF-001,[P1][confirm][frontend][routing] 复核：侧边栏导航 URL 变但页面未更新,"对记录中的路由异常做二次复核：真实鼠标 vs chrome-devtools click vs Playwright；确认是否为 blocker/遮罩/工具伪影；若为真 bug 补齐稳定复现与根因候选。","给出最终结论（bug 或 tool artifact）；若 bug 则明确 root cause 候选点与修复方案并补齐证据。","manual: 按 实际测试发现错误.md:90 复现路径；记录 URL 与 header/body 是否一致；记录 console/network",manual,DONE,DONE,DONE,"frontend/src/components/layout/AppShell.tsx | frontend/src/hooks/useUnsavedChangesGuard.tsx | frontend/src/components/ui/Overlay.tsx | test/specs (TBD)","MVP-FE-002","priority:P1 | area:frontend | needs_confirmation:no | resolution:not_reproduced | verified:pw:test/specs/ui/navigation.spec.ts (E2E_BACKEND_URL=18000; E2E_FRONTEND_URL=15173) | likely_fixed_by:MVP-FE-002 | refs:实际测试发现错误.md#L90"
MVP-CONF-002,[P1][confirm][frontend][interaction] 复核：保存按钮点击无效（多页面）,"对记录中的 保存按钮点不动但 Ctrl/Cmd+S 可用 做二次复核：真实鼠标是否复现；若复现，锁定是否为 overlay 拦截或事件命中异常。","给出最终结论；若 bug 则补齐最小复现与根因点；若为工具伪影则更新文档并降级。","manual: 按 实际测试发现错误.md:106 在 设定/大纲/写作/模型配置 逐页复核 click vs Ctrl+S；记录 PUT 是否出现",manual,DONE,DONE,DONE,"frontend/src/pages/SettingsPage.tsx | frontend/src/pages/OutlinePage.tsx | frontend/src/pages/WritingPage.tsx | frontend/src/pages/PromptsPage.tsx",none,"priority:P1 | area:frontend | needs_confirmation:no | resolution:not_reproduced | verified:pw:click+Ctrl+S triggers PUT (settings/outline/writing/prompts) (E2E_BACKEND_URL=18000; E2E_FRONTEND_URL=15173) | refs:实际测试发现错误.md#L106"
MVP-CONF-003,[P1][confirm][frontend][prompts] 复核：保存为新配置无请求,"对记录中的 模型配置 保存为新配置 无请求 做复核：真实点击/不同项目状态下是否复现；若复现，定位 createProfile 是否被拦截。","给出最终结论；若 bug 则补齐最小复现与根因点与修复方向。","manual: 按 实际测试发现错误.md:122 复现；观察 POST /api/llm_profiles 是否出现",manual,DONE,DONE,DONE,"frontend/src/pages/PromptsPage.tsx | frontend/src/components/prompts/LlmPresetPanel.tsx",none,"priority:P1 | area:frontend | needs_confirmation:no | resolution:not_reproduced | verified:pw:click triggers POST /api/llm_profiles (E2E_BACKEND_URL=18000; E2E_FRONTEND_URL=15173) | refs:实际测试发现错误.md#L122"
MVP-CONF-004,[P1][confirm][frontend][writing] 复核：Memory Update gating/关闭,"对记录中的 Memory Update 非 done 无提示 与 关闭按钮无效 做复核：真实鼠标/不同章节状态/dirty 状态；若复现，定位 toast 与 Drawer close 事件。","给出最终结论；若 bug 则补齐最小复现与根因点。","manual: 按 实际测试发现错误.md:76 与 :151 复现；记录 toast 与 Drawer open/close 行为",manual,DONE,DONE,DONE,"frontend/src/components/ui/toast.ts | frontend/src/components/ui/ToastProvider.tsx | frontend/src/pages/WritingPage.tsx",none,"priority:P1 | area:frontend | confirmed:yes | root:toastWarning missing -> no feedback | fix:add toastWarning variant"
