ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
MVP-410,"[P0][meta] Plan + Issue CSV (hotfix deploy/auth/linuxdo)","Create plan + issues CSV for this hotfix batch (no product code changes).","Plan file and CSV exist; CSV validation passes.","python .codex/skills/plan/scripts/validate_issues_csv.py issues/2026-02-28_20-25-42-hotfix-deploy-auth-linuxdo.csv",none,DONE,DONE,TODO,"plan/2026-02-28_20-25-42-hotfix-deploy-auth-linuxdo.md | issues/2026-02-28_20-25-42-hotfix-deploy-auth-linuxdo.csv",none,"priority:P0 | area:meta | phase:hotfix"
MVP-411,"[P0][backend][deploy] Fix Postgres migration + migration lock","Fix Alembic migration boolean default (cancel_requested) for Postgres; serialize migrations on Postgres using advisory lock to avoid concurrent startup races.","Postgres migrations succeed (no DatatypeMismatch); backend and rq_worker can start concurrently without migration race.","cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \"test_*.py\" -v",none,DONE,DONE,TODO,"backend/alembic/versions/8b4c2f3a1d9e_add_batch_generation_tasks.py | backend/app/db/migrations.py | backend/tests",MVP-410,"priority:P0 | area:backend | phase:hotfix | refs:psycopg2 boolean default 0"
MVP-412,"[P0][frontend][auth] LinuxDo button always visible + toast","Show LinuxDo OIDC button on login/register unconditionally; when linuxdo is not configured, show a toast and do not navigate to a JSON error page.","Login/Register page always shows LinuxDo button; when provider disabled/unconfigured, clicking shows toast; when enabled, redirect works.","cd frontend; npm run lint; npm test; npm run build",none,DONE,DONE,TODO,"frontend/src/pages/LoginPage.tsx | frontend/src/pages/RegisterPage.tsx | frontend/src/lib/uiCopy.ts",MVP-410|MVP-411,"priority:P0 | area:frontend | phase:hotfix"
MVP-413,"[P0][docs][deploy] Compose troubleshooting","Update README with Postgres password URL-encoding guidance; document recovery steps when a migration failed (down -v) and how to enable LinuxDo OIDC config.","README provides copy/paste guidance; no secrets are included.","docker compose config",manual,DONE,DONE,TODO,"README.md",MVP-410|MVP-411|MVP-412,"priority:P1 | area:docs | phase:hotfix"
MVP-414,"[P0][deploy][db] Fix pgvector extension dependency","Use pgvector-enabled Postgres image in docker-compose; make pgvector migration and runtime selection fail-soft when extension is unavailable (avoid startup crash loops).","Compose default Postgres supports pgvector; migrations do not crash when vector extension is missing; app can start and auth APIs respond.","docker compose config; manual: docker compose up -d --build; docker compose logs -f backend rq_worker; confirm no 'extension \"vector\" is not available' crash; GET /api/health returns 200",manual,DONE,DONE,TODO,"docker-compose.yml | backend/alembic/versions/4858b08a6519_add_pgvector_vector_chunks.py | backend/app/services/vector_rag_service.py | README.md",MVP-410|MVP-411|MVP-412|MVP-413,"priority:P0 | area:deploy | phase:hotfix | refs:psycopg2 pgvector extension missing"
MVP-415,"[P0][backend][db] Fix duplicate CHECK constraint migration","Make migration 039b3f10165b idempotent: project_memberships.role CHECK constraint already exists from initial table creation; migration must not crash on DuplicateObject.","Postgres migrations succeed on a fresh DB (no DuplicateObject); backend/worker can finish schema upgrade and stay up.","cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \"test_*.py\" -v",none,DONE,DONE,TODO,"backend/alembic/versions/039b3f10165b_add_project_memberships_role_check.py",MVP-414,"priority:P0 | area:backend | phase:hotfix | refs:psycopg2 DuplicateObject ck_project_memberships_role"
MVP-416,"[P0][backend][deploy] Make migration lock effective","Ensure Postgres advisory migration lock actually serializes Alembic by running migrations on the same connection (alembic env.py respects cfg.attributes['connection']).","backend and rq_worker can start concurrently; only one runs migrations while the other waits; no DuplicateObject/relation-exists races at startup.","cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \"test_*.py\" -v",none,DONE,DONE,TODO,"backend/app/db/migrations.py | backend/alembic/env.py",MVP-411|MVP-415,"priority:P0 | area:backend | phase:hotfix | refs:pg_advisory_lock alembic connection attribute"
MVP-417,"[P0][deploy][worker] Fix rq_worker ModuleNotFoundError in Docker","Fix rq_worker startup crash in Docker: running /app/scripts/*.py does not include /app in sys.path, causing ModuleNotFoundError: No module named 'app'. Bootstrap sys.path in worker script and run uvicorn via python -m to make imports robust.","rq_worker starts and stays up (no ModuleNotFoundError); backend responds with ok JSON envelopes (/api/health, /api/auth/providers) so login/register no longer fails with BAD_RESPONSE caused by non-JSON proxy errors.","cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic scripts; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \"test_*.py\" -v; manual: docker compose --env-file .env.docker.example up -d --build; docker compose logs -f backend rq_worker; confirm rq_worker stays running and GET /api/health returns 200",manual,DONE,DONE,TODO,"backend/scripts/run_rq_worker.py | backend/scripts/entrypoint.sh",MVP-416,"priority:P0 | area:deploy | phase:hotfix | refs:python sys.path script import"
MVP-418,"[P0][deploy][backend] Stabilize startup bootstrap (migrations/admin)","Stop running DB migrations/admin bootstrap inside each Uvicorn worker; run them once in backend container entrypoint. Skip migrations for rq_worker by default; add backend healthcheck and make rq_worker wait for backend readiness to avoid race/crash loops.","Compose with WEB_CONCURRENCY=2 no longer shows repeated Alembic upgrade or uvicorn child crash loop; /api/health and /api/auth/providers return JSON envelope via domain HTTPS (no 502/BAD_RESPONSE).","cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic scripts; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \"test_*.py\" -v; manual: docker compose --env-file .env up -d --build; docker compose logs --tail=2000 backend rq_worker; curl -i http://127.0.0.1:8000/api/health; curl -i https://<domain>/api/auth/providers",manual,DONE,DONE,TODO,"backend/scripts/entrypoint.sh | backend/app/main.py | docker-compose.yml",MVP-417,"priority:P0 | area:deploy | phase:hotfix | refs:uvicorn child died; migrations run in entrypoint+lifecycle; admin bootstrap race | change:entrypoint-only bootstrap; env:AINOVEL_BOOTSTRAP_DONE"
MVP-419,"[P0][backend][deploy] Fix Postgres migrations rollback on startup","Fix ensure_db_schema() using an implicit transaction that gets rolled back on connection close in SQLAlchemy 2.0 (causing tables like users to be missing right after alembic upgrade); ensure migrations run inside an explicit transaction and are committed.","On fresh Postgres volume, backend entrypoint can run alembic upgrade head and then ensure_admin_user without 'relation \"users\" does not exist'; backend stays up and domain /api/* returns JSON (no 502/BAD_RESPONSE).","cd backend; .\\.venv\\Scripts\\python.exe -m compileall -q app alembic; .\\.venv\\Scripts\\python.exe -m unittest discover -s tests -p \"test_*.py\" -v; manual: docker compose --env-file .env up -d --build; docker compose logs --tail=2000 backend; confirm migrations run once then admin bootstrap succeeds; curl -i http://127.0.0.1:8000/api/auth/providers",manual,DONE,DONE,TODO,"backend/app/db/migrations.py",MVP-418,"priority:P0 | area:backend | phase:hotfix | refs:sqlalchemy 2.0 implicit transaction; alembic upgrade; users missing | local:backend unit tests OK; server:needs compose verify"
